Year,ID,Player,POS,HT,WT,High School,City,State,Rating,National_Rank,Position_Rank,State_Rank,Team
2016,31787,Rashan Gary, DT ,6-5,293,Paramus Catholic,Paramus,NJ,1.0000,1,1,1,michigan
2016,34818,Dexter Lawrence, DT ,6-4,327,Wake Forest,Wake Forest,NC,0.9992,2,2,1,clemson
2016,35283,Greg Little, OT ,6-5.5,305,Allen,Allen,TX,0.9991,3,1,1,ole miss
2016,27311,Shea Patterson, PRO ,6-1.5,192,IMG Academy,Bradenton,FL,0.9982,4,1,1,ole miss
2016,47621,Jacob Eason, PRO ,6-5.5,208,Lake Stevens,Lake Stevens,WA,0.9975,5,2,1,georgia
2016,30459,Ed Oliver, DT ,6-2,277,Westfield,Houston,TX,0.9969,6,3,2,houston
2016,34178,Levonta Taylor, CB ,5-11,182,Ocean Lakes,Virginia Beach,VA,0.9967,7,1,1,florida state
2016,26393,Nick Bosa, SDE ,6-4,265,St. Thomas Aquinas,Fort Lauderdale,FL,0.9965,8,1,2,ohio state
2016,36984,Derrick Brown, DT ,6-3.75,317,Lanier,Buford,GA,0.9964,9,4,1,auburn
2016,64419,Ben Davis, ILB ,6-3,240,Gordo,Gordo,AL,0.9955,10,1,1,alabama
2016,49705,Mique Juarez, OLB ,6-1.5,231,North High School,Torrance,CA,0.9924,11,1,1,ucla
2016,33686,Mecole Hardman, ATH ,5-10,169,Elbert County,Elberton,GA,0.9910,12,1,2,georgia
2016,29981,Demetris Robertson, WR ,5-11.75,175,Savannah Christian Prep,Savannah,GA,0.9905,13,1,3,california
2016,26511,Isaac Nauta, TE ,6-3.25,244,IMG Academy,Buford,GA,0.9904,14,1,3,georgia
2016,53426,Oluwole Betiku Jr., WDE ,6-3.5,240,Junipero Serra,Gardena,CA,0.9884,15,1,2,usc
2016,36432,Mack Wilson, OLB ,6-2,220,Carver,Montgomery,AL,0.9884,16,2,2,alabama
2016,58867,Jonah Williams, OT ,6-5,280,Folsom,Folsom,CA,0.9877,17,2,3,alabama
2016,33520,Jeffery Simmons, SDE ,6-3.5,277,Noxubee County,Macon,MS,0.9876,18,2,1,mississippi state
2016,73103,Jack Jones, CB ,5-11,164,Long Beach Poly,Long Beach,CA,0.9872,19,2,4,usc
2016,34545,McTelvin Agim, SDE ,6-2.5,268,Hope,Hope,AR,0.9869,20,3,1,arkansas
