Year,ID,Player,POS,HT,WT,High School,City,State,Rating,National_Rank,Position_Rank,State_Rank,Team
2008,24429,Devoe Torrence, ATH ,6-2,210,Washington,Massillon,OH,0.9764,51,1,4,NULL
2008,10895,Jerrell Harris, OLB ,6-3,242,Gadsden City,Gadsden,AL,0.9758,52,4,4,alabama
2008,4599,DeSean Hales, WR ,5-10,165,Klein Oak,Spring,TX,0.9756,53,12,8,texas
2008,24134,D.J.  Shoemate, WR ,6-0,219,Servite,Anaheim,CA,0.9755,54,13,6,usc
2008,4835,Janoris Jenkins, CB ,5-11,180,Pahokee,Pahokee,FL,0.9744,55,5,12,florida
2008,24269,Jameel Owens, WR ,6-3,210,Muskogee,Muskogee,OK,0.9744,56,14,1,oklahoma
2008,8944,Jordan Futch, OLB ,6-3,240,Chaminade-Madonna Prep,Hollywood,FL,0.9740,57,5,13,miami
2008,22103,Chancey Aghayere, SDE ,6-5,244,Garland,Garland,TX,0.9735,58,4,9,lsu
2008,4813,Dee Finley, S ,6-2,222,Auburn,Auburn,AL,0.9724,59,2,5,florida
2008,24157,Nick Perry, WDE ,6-4,235,Martin Luther King,Detroit,MI,0.9713,60,1,1,usc
2008,5551,Brandon Thompson, DT ,6-2,290,Thomasville,Thomasville,GA,0.9713,61,4,6,clemson
2008,24194,Jarvis Humphrey, DT ,6-2,290,Cedar Hill,Chatfield,TX,0.9711,62,5,10,texas
2008,7885,Darius Fleming, OLB ,6-3,230,St. Rita,Chicago,IL,0.9705,63,6,1,notre dame
2008,24132,Lynn Katoa, ILB ,6-2,220,Cottonwood,Salt Lake City,UT,0.9700,64,2,1,colorado
2008,8948,Sean Spence, OLB ,6-0,186,Northwestern,Miami,FL,0.9694,65,7,14,miami
2008,4819,William Green, SDE ,6-4,255,Spain Park,Birmingham,AL,0.9684,66,5,6,florida
2008,24131,Shayne Hale, WDE ,6-3,235,Gateway,Monroeville,PA,0.9683,67,2,4,pittsburgh
2008,6008,Nigel Carr, ILB ,6-3,220,First Coast,Jacksonville,FL,0.9675,68,3,15,florida state
2008,24055,Justin Johnson, RB ,6-1,210,Gilmer,Gilmer,TX,0.9673,69,6,11,oklahoma
2008,5274,Cyrus Gray, RB ,5-11,190,DeSoto,DeSoto,TX,0.9668,70,7,12,texas am
2008,10744,Mark Barron, S ,6-2,218,St. Paul's Episcopal,Mobile,AL,0.9665,71,3,7,alabama
2008,24299,Dann O'Neill, OT ,6-8,290,Grand Haven,Grand Haven,MI,0.9664,72,10,2,michigan
2008,24265,Gerell Robinson, ATH ,6-4,210,Hamilton,Chandler,AZ,0.9663,73,2,1,arizona state
2008,14354,Davon Johnson, WR ,5-11,163,Booker T. Washington,Miami,FL,0.9659,74,15,16,miami
2008,15410,Marcus Robinson, WDE ,6-2,210,Homestead ,Homestead,FL,0.9646,75,3,17,miami
2008,6868,C.C. Whitlock, CB ,5-10,170,Chester,Chester,SC,0.9645,76,6,3,south carolina
2008,24161,Aundre Dean, RB ,6-1,200,Katy,Katy,TX,0.9638,77,8,13,ucla
2008,10659,Jake Stoneburner, TE ,6-5,245,Dublin Coffman,Dublin,OH,0.9637,78,4,5,ohio state
2008,5048,A.J. Harmon, OT ,6-4,308,Jefferson County,Louisville,GA,0.9634,79,11,7,georgia
2008,10624,Garrett Goebel, DT ,6-3,281,Montini Catholic,Lombard,IL,0.9626,80,6,2,ohio state
2008,8893,Toby Jackson, SDE ,6-4,244,Griffin,Griffin,GA,0.9622,81,6,8,georgia
2008,5521,Antoine McClain, OT ,6-6,315,Anniston Sch,Anniston,AL,0.9622,82,12,8,clemson
2008,24144,Brendan Beal, ILB ,6-4,235,Liberty,Bethlehem,PA,0.9620,83,4,5,florida
2008,24180,Jon Major, ILB ,6-2,220,Ponderosa,Parker,CO,0.9612,84,5,1,colorado
2008,7956,Trevor Robinson, OG ,6-6,304,Elkhorn,Elkhorn,NE,0.9600,85,1,2,notre dame
2008,4845,T.J. Lawrence, WR ,6-1,185,Kathleen,Lakeland,FL,0.9590,86,16,18,florida
2008,24246,Matt Meyer, OT ,6-7,290,Lincoln,Stockton,CA,0.9587,87,13,7,usc
2008,7882,Steve Filer, OLB ,6-3,220,Mount Carmel,Chicago,IL,0.9587,88,8,3,notre dame
2008,24294,Uona Kaveinga, ILB ,6-1,226,Leuzinger,Lawndale,CA,0.9584,89,6,8,usc
2008,7973,Deion Walker, WR ,6-4,186,Christchurch School,Church View,VA,0.9572,90,17,4,notre dame
2008,14058,De'Anthony Curtis, CB ,5-9,211,Camden Fairview,Camden,AR,0.9568,91,7,1,arkansas
2008,7913,Jonas Gray, RB ,5-10,213,Detroit Country Day,Franklin,MI,0.9565,92,9,3,notre dame
2008,14506,Neiko Thorpe, S ,6-2,185,Tucker,Tucker,GA,0.9548,93,4,9,auburn
2008,4653,David Snow, OG ,6-4,300,Gilmer,Gilmer,TX,0.9546,94,2,14,texas
2008,5060,Tavarres King, WR ,6-1,169,Habersham Central,Mount Airy,GA,0.9544,95,18,10,georgia
2008,4442,Derrick Hall, ATH ,5-10,200,Beaumont Central,Corsicana,TX,0.9538,96,3,15,texas am
2008,24296,E.J. Woods, S ,6-0,195,Crespi,Encino,CA,0.9520,97,5,9,ucla
2008,4668,Aaron Williams, CB ,6-1,175,McNeil,Austin,TX,0.9517,98,8,16,texas
2008,23748,Kenny Tate, ILB ,6-4,220,DeMatha Catholic,Hyattsville,MD,0.9516,99,7,1,maryland
2008,4849,Lerentee McCray, OLB ,6-2,252,Dunnellon,Dunnellon,FL,0.9516,100,9,19,florida
2008,10785,Courtney Upshaw, OLB ,6-2,265,Eufaula ,Eufaula,AL,0.9500,101,10,9,alabama
2008,15768,Landry Jones, PRO ,6-4,229,Artesia,Artesia,NM,0.9497,102,5,1,oklahoma
2008,10658,Andrew Sweat, OLB ,6-2,238,Trinity,Washington,PA,0.9484,103,11,6,ohio state
2008,14635,C.J. Holton, S ,6-2,195,Wakulla,Crawfordville,FL,0.9476,104,6,20,miami
2008,4598,D.J. Grant, WR ,6-3,205,Lyndon B Johnson,Waco,TX,0.9475,105,19,17,texas
2008,5458,Spencer Adams, S ,6-2,180,Butler,Matthews,NC,0.9473,106,7,1,clemson
2008,5492,Andre Ellington, APB ,5-10,175,Berkeley,Moncks Corner,SC,0.9471,107,1,4,clemson
2008,5838,Rahim Moore, S ,6-1,196,Dorsey,Los Angeles,CA,0.9468,108,8,10,ucla
2008,5704,Khaled Holmes, OG ,6-4,301,Mater Dei,Santa Ana,CA,0.9457,109,3,11,usc
2008,16214,J.B. Fitzgerald, OLB ,6-4,225,West Windsor-Plainsboro South,Princeton Junction,NJ,0.9449,110,12,2,michigan
2008,4575,Nolan Brewster, S ,6-1,195,Mullen,Denver,CO,0.9446,111,9,2,texas
2008,10901,Mark Ingram, RB ,5-10,215,Southwestern Commencement Academy,Flint,MI,0.9444,112,10,4,alabama
2008,24156,Alonzo Lawrence, CB ,6-1,185,George County,Lucedale,MS,0.9440,113,9,2,alabama
2008,24159,Lamaar Thomas, ATH ,5-11,180,Friendly,Fort Washington,MD,0.9440,114,4,2,ohio state
2008,7962,Jamoris Slaughter, S ,6-1,185,Tucker,Tucker,GA,0.9439,115,10,11,notre dame
2008,16272,Brandon Moore, TE ,6-6,243,Trotwood-Madison,Dayton,OH,0.9436,116,5,6,michigan
2008,7872,Braxston Cave, OC ,6-4,295,Penn,Mishawaka,IN,0.9419,117,2,1,notre dame
2008,4616,Dravannti Johnson, OLB ,6-2,230,Nederland,Nederland,TX,0.9416,118,13,18,texas
2008,24192,Tyler Westphal, WDE ,6-6,230,Menasha,Menasha,WI,0.9393,119,4,1,wisconsin
2008,4714,Robert Golden, CB ,5-11,200,Edison,Fresno,CA,0.9393,120,10,12,arizona
2008,5266,Jeff Fuller, WR ,6-4,205,Boyd,McKinney,TX,0.9387,121,20,19,texas am
2008,5793,Tony Dye, CB ,5-11,180,Santiago,Corona,CA,0.9387,122,11,13,ucla
2008,5610,Corey Liuget, DT ,6-3,300,Hialeah,Hialeah,FL,0.9382,123,7,21,illinois
2008,5459,Dwayne Allen, TE ,6-4,245,Terry Sanford,Fayetteville,NC,0.9381,124,6,2,clemson
2008,11568,Christian Wilson, ATH ,6-2,228,Montour,Mckees Rocks,PA,0.9379,125,5,7,north carolina
2008,18472,Benjamin Jones, OT ,6-6,270,Northwestern,Miami,FL,0.9369,126,14,22,miami
2008,14219,Tyler Wilson, PRO ,6-3,220,Greenwood,Greenwood,AR,0.9366,127,6,2,arkansas
2008,24293,Chris Burns, RB ,5-10,185,Wilmington,New Wilmington,PA,0.9366,128,11,8,pittsburgh
2008,24365,Chris Harper, RB ,6-2,231,Northwest,Wichita,KS,0.9366,129,12,2,oregon
2008,24374,Kye Staley, ATH ,6-0,215,Guthrie,Guthrie,OK,0.9365,130,6,2,oklahoma state
2008,10016,Rod Davis, DT ,6-0,300,Aldine Eisenhower,Fort Scott,KS,0.9362,131,8,20,texas am
2008,18333,Darius Barksdale, RB ,6-0,195,South Panola,Batesville,MS,0.9358,132,13,3,ole miss
2008,14245,Charles Mitchell, S ,5-11,205,Clarksdale,Clarksdale,MS,0.9349,133,11,4,mississippi state
2008,5101,Carlton Thomas, RB ,5-7,159,Frostproof,Frostproof,FL,0.9341,134,14,23,georgia
2008,24295,Ryan Baker, OLB ,6-0,210,Blountstown,Blountstown,FL,0.9340,135,14,24,lsu
2008,5472,Xavier Brewer, CB ,5-11,170,Bartram Trail,Jacksonville,FL,0.9337,136,12,25,clemson
2008,24142,Boubacar Cissoko, CB ,5-8,171,Cass Technical,Detroit,MI,0.9335,137,13,5,michigan
2008,5408,Michael Mauti, OLB ,6-1,225,Mandeville,Mandeville,LA,0.9334,138,15,1,penn state
2008,19073,Vinston Painter, OT ,6-6,310,Maury,Norfolk,VA,0.9331,139,15,5,virginia tech
2008,4761,Apaiata Tuihalamaka, SDE ,6-3,258,Junipero Serra,Gardena,CA,0.9330,140,7,14,arizona
2008,24334,Brandon Barnes, ATH ,6-0,185,Bunn,Bunn,NC,0.9315,141,7,3,north carolina state
2008,8947,Tommy Streeter, WR ,6-5,200,Northwestern,Miami,FL,0.9310,142,21,26,miami
2008,5456,Michael Zordich, OLB ,6-2,225,Cardinal Mooney,Youngstown,OH,0.9307,143,16,7,penn state
2008,8444,Kyle Parker, PRO ,6-0,200,Bartram Trail,Jacksonville,FL,0.9305,144,7,27,clemson
2008,5790,Nick Crissman, PRO ,6-3,210,Edison,Huntington Beach,CA,0.9303,145,8,15,ucla
2008,14026,Joe Adams, WR ,5-11,190,Central Arkansas Christian,Maumelle,AR,0.9302,146,22,3,arkansas
2008,5454,Michael Yancich, OLB ,6-1,220,Trinity,Washington,PA,0.9302,147,17,9,penn state
2008,24135,Josh Jenkins, OG ,6-3,285,Parkersburg,Parkersburg,WV,0.9298,148,4,1,west virginia
2008,21491,Stacy McGee, DT ,6-4,289,Muskogee,Muskogee,OK,0.9298,149,9,3,oklahoma
2008,5706,Wes Horton, WDE ,6-5,260,Notre Dame,Sherman Oaks,CA,0.9297,150,5,16,usc
2008,24275,Terrell Manning, OLB ,6-2,205,Scotland County,Laurinburg,NC,0.9296,151,18,4,north carolina state
2008,24285,E.J. Abrams-Ward, ATH ,6-5,210,Thomasville,Thomasville,NC,0.9295,152,8,5,tennessee
2008,18928,Joseph Ibiloye, OLB ,6-3,195,South Garland,Garland,TX,0.9284,153,19,21,oklahoma
2008,24298,Bobby Massie, OT ,6-8,335,Liberty Christian Academy,Lynchburg,VA,0.9281,154,16,6,NULL
2008,22239,Chase Clement, SDE ,6-5,241,E D White Catholic,Thibodaux,LA,0.9280,155,8,2,lsu
2008,24292,Bryce Givens, OT ,6-6,257,Mullen,Denver,CO,0.9279,156,17,3,colorado
2008,10637,Travis Howard, CB ,6-0,190,Dr Michael M. Krop,Miami,FL,0.9276,157,14,28,ohio state
2008,6023,Jarmon Fortson, ATH ,6-3,220,Carver,Columbus,GA,0.9274,158,9,12,florida state
2008,24313,Chris Tolliver, WR ,6-1,180,Rayville,Rayville,LA,0.9273,159,23,3,lsu
2008,5026,Marcus Dowtin, OLB ,6-2,215,Fork Union Military (HS),Fork Union,VA,0.9271,160,20,7,georgia
2008,10908,Barrett Jones, OG ,6-5,311,Evangelical Christian,Ridgely,TN,0.9269,161,5,1,alabama
2008,24276,Chris Polk, RB ,5-11,205,Redlands East Valley,Redlands,CA,0.9267,162,15,17,washington
2008,24442,Antoine Hicks, ATH ,6-2,193,Mansfield Timberview,Arlington,TX,0.9265,163,10,22,texas
2008,4791,Jeremy Brown, CB ,5-10,185,Boone,Orlando,FL,0.9264,164,15,29,florida
2008,55061,Burton Scott, ATH ,5-11,194,Vigor,Mobile,AL,0.9264,165,11,10,alabama
2008,8964,Travis Benjamin, WR ,5-11,141,Glades Central,Belle Glade,FL,0.9259,166,24,30,miami
2008,24370,Karnell Hatcher, S ,6-2,186,Atlantic,Delray Beach,FL,0.9258,167,12,31,lsu
2008,24331,Brandon Taylor, S ,6-0,176,Franklinton,Franklinton,LA,0.9249,168,13,4,lsu
2008,24207,Solomon Koehler, DT ,6-2,305,Castle,Kaneohe,HI,0.9249,169,10,1,arizona
2008,5111,Cornelius Washington, OLB ,6-4,220,Burke County,Waynesboro,GA,0.9248,170,21,13,georgia
2008,24273,Lawrence Guy, DT ,6-5,265,Western,Las Vegas,NV,0.9247,171,11,1,arizona state
2008,8945,Vaughn Telemaque, S ,6-2,180,Long Beach Poly,Long Beach,CA,0.9244,172,14,18,miami
2008,24327,Dontavius Jackson, RB ,5-11,195,Heard County,Franklin,GA,0.9239,173,16,14,georgia
2008,21497,Daniel Franklin, ILB ,6-2,233,Habersham Central,Mount Airy,GA,0.9237,174,8,15,oklahoma
2008,4565,Emmanuel Acho, OLB ,6-2,210,St. Mark's,Dallas,TX,0.9223,175,22,23,texas
2008,7927,Dan McCarthy, S ,6-2,190,Cardinal Mooney,Youngstown,OH,0.9221,176,15,8,notre dame
2008,6061,Terrance Parks, S ,6-1,200,Creekside,Fairburn,GA,0.9220,177,16,16,florida state
2008,24186,Brandon Smith, S ,6-3,210,New Brunswick,New Brunswick,NJ,0.9218,178,17,3,michigan
2008,5811,Aaron Hester, CB ,6-0,180,Compton Dominguez,Compton,CA,0.9217,179,16,19,ucla
2008,24260,Dejuan Miller, WR ,6-5,200,Metuchen,Metuchen,NJ,0.9215,180,25,4,oklahoma
2008,24439,Jordan Fields, CB ,6-0,185,Paris,Paris,TX,0.9213,181,17,24,NULL
2008,24301,Marvin Jones, WR ,6-2,177,Etiwanda,Rancho Cucamonga,CA,0.9202,182,26,20,california
2008,5814,Damien Holmes, SDE ,6-3,265,Colton,Colton,CA,0.9188,183,9,21,ucla
2008,24195,Sam McGuffie, RB ,6-1,188,Cy-Fair,Cypress,TX,0.9188,184,17,25,michigan
2008,4631,D.J. Monroe, CB ,5-9,165,Angleton,Angleton,TX,0.9187,185,18,26,texas
2008,24368,DeAngelo Peterson, ATH ,6-3,195,Desire Street Academy,Baton Rouge,LA,0.9177,186,12,5,lsu
2008,5618,Patrick Nixon-Youman, CB ,5-10,180,Middleburg,Jacksonville,FL,0.9177,187,19,32,illinois
2008,24385,Armond Armstead, DT ,6-5,287,Pleasant Grove,Elk Grove,CA,0.9174,188,12,22,usc
2008,24289,R.J. Mattes, OT ,6-7,270,Jay M Robinson,Concord,NC,0.9173,189,18,6,north carolina state
2008,6661,Ryan Bass, RB ,5-10,186,Centennial,Corona,CA,0.9171,190,18,23,arizona state
2008,23751,Kevin Dorsey, WR ,6-2,210,Forestville Military Academy,District Heights,MD,0.9170,191,27,3,maryland
2008,10044,Kemonte Bateman, WR ,6-0,180,Crenshaw,Pasadena,CA,0.9167,192,28,24,arizona state
2008,24277,Everrette Thompson, SDE ,6-5,255,Kennedy Catholic,Burien,WA,0.9166,193,10,2,washington
2008,24351,Cameron Saddler, APB ,5-6,157,Gateway,Monroeville,PA,0.9166,194,2,10,pittsburgh
2008,5056,Ben Jones, OC ,6-2,306,Bibb County,Centreville,AL,0.9156,195,3,11,georgia
2008,16151,Michael Shaw, RB ,6-0,185,Trotwood-Madison,Dayton,OH,0.9156,196,19,9,michigan
2008,24347,Star Jackson, PRO ,6-3,185,Lake Worth,Lake Worth,FL,0.9148,197,9,33,alabama
2008,54807,Eric Smith, FB ,5-10,239,Armwood,Seffner,FL,0.9145,198,1,34,auburn
2008,22966,Melvin Ray, WR ,6-3,217,North Florida Christian,Tallahassee,FL,0.9144,199,29,35,alabama
2008,24343,MarQueis Gray, PRO ,6-4,205,Ben Davis,Indianapolis,IN,0.9143,200,10,2,minnesota
2008,5360,Brandon Beachum, RB ,6-1,220,Cardinal Mooney,Youngstown,OH,0.9142,201,20,10,penn state
2008,8299,Fred Smith, WR ,6-2,207,Southwestern,Detroit,MI,0.9139,202,30,6,michigan state
2008,16268,Kevin Koger, TE ,6-4,235,Whitmer,Toledo,OH,0.9135,203,7,11,michigan
2008,11561,Quinton Coples, SDE ,6-7,235,Hargrave Military Academy (HS),Chatham,VA,0.9131,204,11,8,north carolina
2008,9899,Josh Haden, RB ,5-8,195,Friendly,Upper Marlboro,MD,0.9129,205,21,4,boston college
2008,24426,Max Tuioti-Mariner, OG ,6-4,300,Corona,Corona,CA,0.9128,206,6,25,colorado
2008,24428,Jarrell Barbour, S ,6-3,190,Centennial,Peoria,AZ,0.9125,207,18,2,arizona state
2008,10796,Michael Williams, TE ,6-6,269,Pickens County,Reform,AL,0.9124,208,8,12,alabama
2008,5820,Datone Jones, SDE ,6-4,272,Compton,Compton,CA,0.9118,209,12,26,ucla
2008,7878,Sean Cwynar, DT ,6-4,284,Marian Central Catholic,Woodstock,IL,0.9116,210,13,4,notre dame
2008,5798,Joseph Fauria, TE ,6-8,250,Crespi,Encino,CA,0.9110,211,9,27,notre dame
2008,5041,Cordy Glenn, OT ,6-6,315,Riverdale,Riverdale,GA,0.9108,212,19,17,georgia
2008,16246,Mike Martin, DT ,6-2,278,Catholic Central,Novi,MI,0.9107,213,14,7,michigan
2008,4738,Willie Mobley, DT ,6-2,277,Eden Prairie,Eden Prairie,MN,0.9105,214,15,2,ohio state
2008,7928,Anthony McDonald, ILB ,6-3,220,Notre Dame,Sherman Oaks,CA,0.9102,215,9,28,notre dame
2008,24427,Daniel Campbell, OG ,6-5,320,Aldine,Houston,TX,0.9101,216,7,27,usc
2008,6073,Zebrie Sanders, OT ,6-5,275,Northmont,Dayton,OH,0.9101,217,20,12,florida state
2008,24288,Averin Collier, ATH ,5-11,195,Churchville-chili Senior,Churchville,NY,0.9101,218,13,1,syracuse
2008,6000,A.J. Alexander, ATH ,6-0,180,Altoona,Altoona,PA,0.9096,219,14,11,florida state
2008,22348,Adrian  Bushell, CB ,5-11,184,DeSoto,DeSoto,TX,0.9093,220,20,28,florida
2008,24267,Austin Holt, TE ,6-6,230,Bingham,South Jordan,UT,0.9092,221,10,2,byu
2008,24434,Kendall Wright, ATH ,5-11,170,Pittsburg,Pittsburg,TX,0.9082,222,15,29,baylor
2008,24354,Matt Branch, OT ,6-7,240,Sterlington,Monroe,LA,0.9081,223,21,6,lsu
2008,6109,Aaron Boyd, WR ,6-4,195,Henry Clay,Lexington,KY,0.9080,224,31,1,kentucky
2008,24350,Mark Buchanan, OT ,6-6,275,Austin High,Austin,TX,0.9079,225,22,30,texas
2008,16263,Terrence Robinson, WR ,5-9,170,Klein Oak,Spring,TX,0.9079,226,32,31,michigan
2008,4604,Jeremy Hills, RB ,5-11,181,Alief Elsik,Houston,TX,0.9077,227,22,32,texas
2008,11004,Omarius Hines, WR ,6-0,220,Corsicana,Corsicana,TX,0.9075,228,33,33,florida
2008,8851,Jamal Womble, RB ,5-11,216,Buena,Hutchinson,KS,0.9075,229,23,3,north carolina
2008,8074,Aaron Douglas, TE ,6-6,245,Maryville,Maryville,TN,0.9073,230,11,2,tennessee
2008,10653,Nathan Williams, SDE ,6-3,260,Miami Trace,Washington Court House,OH,0.9073,231,13,13,ohio state
2008,24300,Andrew Jones, TE ,6-5,228,Smithville,Smithville,MO,0.9073,232,12,2,missouri
2008,10820,Marcell Dareus, SDE ,6-4,306,Huffman,Birmingham,AL,0.9064,233,14,13,alabama
2008,24362,Devonta Bolton, ATH ,6-4,220,Norcross,Norcross,GA,0.9063,234,16,18,alabama
2008,5625,Graham Pocic, OT ,6-7,305,Lemont,Lemont,IL,0.9062,235,23,5,illinois
2008,4895,Torrey Mack, RB ,6-0,190,Stratford,Stratford,CT,0.9059,236,24,1,virginia
2008,24359,Art Forst, OT ,6-8,288,Manasquan,Manasquan,NJ,0.9057,237,24,5,rutgers
2008,5679,Jurrell Casey, DT ,6-1,280,Long Beach Poly,Long Beach,CA,0.9056,238,16,29,usc
2008,24348,Marcus Witherspoon, OLB ,6-2,215,Holy Spirit,Absecon,NJ,0.9051,239,23,6,michigan
2008,24422,Kerry Boykins, WR ,6-1,200,Oscar Smith,Chesapeake,VA,0.9050,240,34,9,maryland
2008,22782,Hamani Stevens, OG ,6-4,290,Hemet,Hemet,CA,0.9048,241,8,30,oregon
2008,21503,Ben Habern, OC ,6-4,292,Liberty Christian,Argyle,TX,0.9046,242,4,34,oklahoma
2008,15869,Dion Jordan, WDE ,6-6,215,Chandler,Chandler,AZ,0.9044,243,6,4,oregon
2008,7873,Lane Clelland, OT ,6-5,270,McDonogh School,Owings Mills,MD,0.9043,244,25,5,notre dame
2008,5088,Christian Robinson, ILB ,6-2,204,Greater Atlanta Christian School,Norcross,GA,0.9040,245,10,19,georgia
2008,24290,Alameda Ta'amu, OG ,6-4,330,Rainier Beach,Seattle,WA,0.9036,246,9,3,washington
2008,24419,Kenneth Page, OG ,6-4,295,A C Flora,Columbia,SC,0.9034,247,10,5,clemson
2008,6136,Winston Guy, S ,6-1,215,Lexington Catholic,Lexington,KY,0.9033,248,19,2,kentucky
2008,5927,Chris Jackson, RB ,6-1,205,Henry County,McDonough,GA,0.9026,249,25,20,alabama
2008,24418,Jordan Jefferson, PRO ,6-5,200,Destrehan,Destrehan,LA,0.9022,250,11,7,lsu
