Year,ID,Player,POS,HT,WT,High School,City,State,Rating,National_Rank,Position_Rank,State_Rank,Team
2008,24046,Da'Quan Bowers, SDE ,6-4,265,Bamberg-Ehrhardt,Bamberg,SC,0.9997,1,1,1,clemson
2008,10648,Terrelle Pryor, DUAL ,6-6,233,Jeannette,Jeannette,PA,0.9997,2,1,1,ohio state
2008,10911,Julio Jones, WR ,6-4,220,Foley ,Foley,AL,0.9992,3,1,1,alabama
2008,15789,Darrell Scott, RB ,6-0,204,St. Bonaventure,Ventura,CA,0.9980,4,1,1,colorado
2008,4830,Will Hill, S ,6-1,207,St. Peters Prep,Jersey City,NJ,0.9979,5,1,1,florida
2008,24063,Patrick Peterson, CB ,6-1,195,Blanche Ely,Pompano Beach,FL,0.9977,6,1,1,lsu
2008,5044,A.J. Green, WR ,6-4,184,Summerville,Summerville,SC,0.9973,7,2,2,georgia
2008,15416,Arthur Brown, ILB ,6-1,210,East,Wichita,KS,0.9960,8,1,1,miami
2008,24432,Jermie Calhoun, RB ,6-0,210,Van Horn,Van Horn,TX,0.9945,9,2,1,oklahoma
2008,21490,R.J. Washington, SDE ,6-3,248,Fossil Ridge,Keller,TX,0.9941,10,2,2,oklahoma
2008,11169,Marcus Forston, DT ,6-3,286,Northwestern,Miami,FL,0.9940,11,1,2,miami
2008,24083,DeAndre Brown, WR ,6-6,205,Ocean Springs,Pascagoula,MS,0.9931,12,3,1,southern mississippi
2008,24431,Jonathan Baldwin, WR ,6-6,233,Aliquippa,Aliquippa,PA,0.9914,13,4,2,pittsburgh
2008,7886,Michael Floyd, WR ,6-3,195,Cretin Derham Hall,Saint Paul,MN,0.9914,14,5,1,notre dame
2008,10590,Michael Brewster, OC ,6-5,293,Edgewater,Orlando,FL,0.9911,15,1,3,ohio state
2008,5663,Blake Ayles, TE ,6-4,245,Orange Lutheran,Orange,CA,0.9911,16,1,2,usc
2008,4833,Omar Hunter, DT ,6-1,300,Buford,Buford,GA,0.9904,17,2,1,florida
2008,5092,Richard Samuel, RB ,6-0,197,Cass,Cartersville,GA,0.9901,18,3,2,georgia
2008,6003,Nigel Bradham, OLB ,6-2,230,Wakulla,Crawfordville,FL,0.9893,19,1,4,florida state
2008,5710,Matt Kalil, OT ,6-7,281,Servite,Anaheim,CA,0.9892,20,1,3,usc
2008,10565,Mike Adams, OT ,6-8,300,Dublin Coffman,Dublin,OH,0.9887,21,2,1,ohio state
2008,7877,Dayne Crist, PRO ,6-5,228,Notre Dame,Sherman Oaks,CA,0.9886,22,1,4,notre dame
2008,10703,Tyler Love, OT ,6-6,307,Mountain Brook,Birmingham,AL,0.9884,23,3,2,alabama
2008,10683,Etienne Sabino, OLB ,6-3,240,Dr Michael M. Krop,Miami,FL,0.9870,24,2,5,ohio state
2008,8763,Brandon Harris, CB ,5-11,174,Booker T. Washington,Miami,FL,0.9864,25,2,6,miami
2008,6049,EJ Manuel, DUAL ,6-5,220,Bayside,Virginia Beach,VA,0.9849,26,2,1,florida state
2008,10741,B.J. Scott, CB ,5-11,193,Vigor,Mobile,AL,0.9846,27,3,3,alabama
2008,5105,DeAngelo Tyson, DT ,6-2,276,Statesboro,Statesboro,GA,0.9834,28,3,3,georgia
2008,7958,Kyle Rudolph, TE ,6-6,229,Elder,Cincinnati,OH,0.9832,29,2,2,notre dame
2008,5749,Tyron Smith, OT ,6-5,260,Rancho Verde,Moreno Valley,CA,0.9830,30,4,5,usc
2008,4859,Matt Patchan, OT ,6-6,295,Armwood,Seffner,FL,0.9826,31,5,7,florida
2008,11503,Aldarius Johnson, WR ,6-2,200,Northwestern,Miami,FL,0.9821,32,6,8,miami
2008,24101,Kavario Middleton, TE ,6-6,255,Lakes,Lakewood,WA,0.9820,33,3,1,washington
2008,11725,Baker Steinkuhler, OT ,6-6,290,Southwest,Lincoln,NE,0.9812,34,6,1,nebraska
2008,24143,Blaine Gabbert, PRO ,6-4,266,West,Ballwin,MO,0.9806,35,2,1,missouri
2008,7919,Ethan Johnson, SDE ,6-4,285,Lincoln,Portland,OR,0.9805,36,3,1,notre dame
2008,24158,Stephen Good, OT ,6-5,297,Paris,Paris,TX,0.9798,37,7,3,oklahoma
2008,4692,Dan Buckner, WR ,6-4,209,Allen,Allen,TX,0.9791,38,7,4,texas
2008,5673,T.J. Bryant, CB ,6-1,175,Lincoln,Tallahassee,FL,0.9788,39,4,9,usc
2008,24274,Ryan Williams, RB ,5-10,195,Unity Reed,Manassas,VA,0.9787,40,4,2,virginia tech
2008,5504,Jamie Harper, RB ,6-0,235,Trinity Christian Academy,Jacksonville,FL,0.9784,41,5,10,clemson
2008,23337,Andrew Luck, PRO ,6-4,215,Stratford,Houston,TX,0.9782,42,3,5,stanford
2008,24270,Joshua Jarboe, WR ,6-3,195,Cedar Grove,Ellenwood,GA,0.9782,43,8,4,oklahoma
2008,10660,J.B. Shugarts, OT ,6-7,297,Klein,Spring,TX,0.9779,44,8,6,ohio state
2008,10948,Ramon Buchanan, OLB ,6-1,181,Palm Bay Senior,Melbourne,FL,0.9777,45,3,11,miami
2008,24098,Lucas Nix, OT ,6-6,295,Thomas Jefferson,Jefferson,PA,0.9776,46,9,3,pittsburgh
2008,24271,Mike Glennon, PRO ,6-6,195,Westfield,Chantilly,VA,0.9773,47,4,3,north carolina state
2008,16170,Darryl Stonum, WR ,6-2,180,Dulles,Sugar Land,TX,0.9772,48,9,7,michigan
2008,10650,DeVier Posey, WR ,6-2,213,LaSalle ,Cincinnati,OH,0.9769,49,10,3,ohio state
2008,5675,Brice Butler, WR ,6-2,178,Norcross,Norcross,GA,0.9769,50,11,5,usc
