Year,ID,Player,POS,Team,Rating,Round,RD_pick,Draft_pick
2013,31097,Eric Fisher,OT,KC, 0.7667 ,1,1,1
2013,1141,Luke Joeckel,OT,JAX, 0.9726 ,1,2,2
2013,15869,Dion Jordan,DE,MIA, 0.9044 ,1,3,3
2013,21505,Lane Johnson,OT,PHI,NULL,1,4,4
2013,31154,Ziggy Ansah,DE,DET,NULL,1,5,5
2013,22841,Barkevious Mingo,DE,CLE, 0.9194 ,1,6,6
2013,11560,Jonathan Cooper,OG,ARI, 0.8764 ,1,7,7
2013,18891,Tavon Austin,WR,LAR, 0.9188 ,1,8,8
2013,10715,Dee Milliner,DB,NYJ, 0.9932 ,1,9,9
2013,10788,Chance Warmack,OG,TEN, 0.8795 ,1,10,10
2013,10882,D.J. Fluker,OT,LAC, 0.9849 ,1,11,11
2013,7948,D.J. Hayden,DB,LV, 0.8241 ,1,12,12
2013,7400,Sheldon Richardson,DT,NYJ, 0.9537 ,1,13,13
2013,6367,Star Lotulelei,DT,CAR, 0.8556 ,1,14,14
2013,4659,Kenny Vaccaro,DB,NO, 0.9018 ,1,15,15
2013,6049,E.J. Manuel,QB,BUF, 0.9849 ,1,16,16
2013,5057,Jarvis Jones,LB,PIT, 0.9745 ,1,17,17
2013,1361,Eric Reid,DB,SF, 0.9719 ,1,18,18
2013,31124,Justin Pugh,OT,NYG, 0.7667 ,1,19,19
2013,14942,Kyle Long,OG,CHI, 0.9060 ,1,20,20
2013,7881,Tyler Eifert,TE,CIN, 0.8684 ,1,21,21
2013,31098,Desmond Trufant,DB,ATL, 0.8528 ,1,22,22
2013,1067,Sharrif Floyd,DT,MIN, 0.9970 ,1,23,23
2013,6097,Bjoern Werner,DE,IND, 0.8789 ,1,24,24
2013,6070,Xavier Rhodes,DB,MIN, 0.8622 ,1,25,25
2013,5820,Datone Jones,DE,GB, 0.9118 ,1,26,26
2013,3774,DeAndre Hopkins,WR,HOU, 0.9156 ,1,27,27
2013,8076,Sylvester Williams,DT,DEN, 0.8993 ,1,28,28
2013,11084,Cordarrelle Patterson,WR,MIN, 0.9671 ,1,29,29
2013,5078,Alec Ogletree,LB,LAR, 0.9889 ,1,30,30
2013,5208,Travis Frederick,OC,DAL, 0.8479 ,1,31,31
2013,1103,Matt Elam,DB,BAL, 0.9924 ,1,32,32
2013,31113,John Cyprien,DB,JAX, 0.7444 ,2,1,33
2013,1125,Justin Hunter,WR,TEN, 0.9829 ,2,2,34
2013,23524,Zach Ertz,TE,PHI, 0.9090 ,2,3,35
2013,8605,Darius Slay,DB,DET, 0.8200 ,2,4,36
2013,3881,Giovani Bernard,RB,CIN, 0.9232 ,2,5,37
2013,7970,Manti Te'o,LB,LAC, 0.9977 ,2,6,38
