Year,ID,Player,POS,Team,Rating,Round,RD_pick,Draft_pick
2011,2495,Cam Newton,QB,CAR, 0.9333 ,1,1,1
2011,5308,Von Miller,LB,DEN, 0.8844 ,1,2,2
2011,10820,Marcell Dareus,DT,BUF, 0.9064 ,1,3,3
2011,5044,A.J. Green,WR,CIN, 0.9973 ,1,4,4
2011,24063,Patrick Peterson,DB,ARI, 0.9977 ,1,5,5
2011,10911,Julio Jones,WR,ATL, 0.9992 ,1,6,6
2011,54962,Aldon Smith,DE,SF, 0.8514 ,1,7,7
2011,12325,Jake Locker,QB,TEN, 0.9740 ,1,8,8
2011,5749,Tyron Smith,OT,DAL, 0.9830 ,1,9,9
2011,24143,Blaine Gabbert,QB,JAX, 0.9806 ,1,10,10
2011,5236,J.J. Watt,DE,HOU, 0.7962 ,1,11,11
2011,6062,Christian Ponder,QB,MIN, 0.8639 ,1,12,12
2011,7830,Nick Fairley,DT,DET, 0.8778 ,1,13,13
2011,13952,Robert Quinn,DE,LAR, 0.8993 ,1,14,14
2011,4863,Mike Pouncey,OG,MIA, 0.8844 ,1,15,15
2011,52984,Ryan Kerrigan,LB,WAS, 0.8528 ,1,16,16
2011,39897,Nate Solder,OT,NE, 0.8556 ,1,17,17
2011,5610,Corey Liuget,DT,LAC, 0.9382 ,1,18,18
2011,53024,Prince Amukamara,DB,NYG, 0.8653 ,1,19,19
2011,41602,Adrian Clayborn,DE,TB, 0.9049 ,1,20,20
2011,40162,Phil Taylor,DT,CLE, 0.9017 ,1,21,21
2011,52927,Anthony Castonzo,OT,IND, 0.7889 ,1,22,22
2011,30310,Danny Watkins,OG,PHI, 0.8333 ,1,23,23
2011,53173,Cameron Jordan,DE,NO, 0.8556 ,1,24,24
2011,10817,James Carpenter,OT,SEA, 0.9000 ,1,25,25
2011,24431,Jon Baldwin,WR,KC, 0.9914 ,1,26,26
2011,39894,Jimmy Smith,DB,BAL, 0.8556 ,1,27,27
2011,10901,Mark Ingram,RB,NO, 0.9444 ,1,28,28
2011,5205,Gabe Carimi,OT,CHI, 0.8778 ,1,29,29
2011,55601,Muhammad Wilkerson,DT,NYJ, 0.8556 ,1,30,30
2011,10633,Cameron Hayward,DE,PIT, 0.8986 ,1,31,31
2011,54577,Derek Sherrod,OT,GB, 0.8986 ,1,32,32
2011,4911,Ras-I Dowling,DB,NE, 0.9444 ,2,1,33
2011,4668,Aaron Williams,DB,BUF, 0.9517 ,2,2,34
2011,39144,Andy Dalton,QB,CIN, 0.8385 ,2,3,35
2011,40879,Colin Kaepernick,QB,SF, 0.8448 ,2,4,36
2011,52677,Jabaal Sheard,DE,CLE, 0.8608 ,2,5,37
2011,24274,Ryan Williams,RB,ARI, 0.9787 ,2,6,38
2011,5769,Akeem Ayers,LB,TEN, 0.9127 ,2,7,39
2011,14570,Bruce Carter,LB,DAL,NULL,2,8,40
2011,5512,Jarvis Jenkins,DT,WAS,NULL,2,9,41
2011,4750,Brooks Reed,DE,HOU, 0.8497 ,2,10,42
2011,7958,Kyle Rudolph,TE,MIN, 0.9832 ,2,11,43
2011,54436,Titus Young,WR,DET, 0.8556 ,2,12,44
2011,5838,Rahim Moore,DB,DEN, 0.9468 ,2,13,45
2011,52479,Orlando Franklin,OT,DEN, 0.8906 ,2,14,46
2011,5219,Lance Kendricks,TE,LAR, 0.9323 ,2,15,47
2011,5453,Stefan Wisniewki,OC,LV, 0.9463 ,2,16,48
2011,76265,Benjamin Ijalana,OT,IND,NULL,2,17,49
2011,5500,Marcus Gilchrist,DB,LAC, 0.9596 ,2,18,50
2011,24046,Da'Quan Bowers,DE,TB, 0.9997 ,2,19,51
2011,13951,Marvin Austin,DT,NYG, 0.9979 ,2,20,52
2011,55579,Stephen Paea,DT,CHI, 0.8444 ,2,21,53
2011,76277,Jaiquawn Jarrett,DB,PHI,NULL,2,22,54
2011,6034,Rodney Hudson,OC,KC,NULL,2,23,55
2011,53219,Shane Vereen,RB,NE, 0.9222 ,2,24,56
2011,5608,Mikel Leshoure,RB,DET, 0.8778 ,2,25,57
2011,53184,Torrey Smith,WR,BAL, 0.8510 ,2,26,58
2011,13954,Greg Little,WR,CLE, 0.9614 ,2,27,59
2011,8763,Brandon Harris,DB,HOU, 0.9864 ,2,28,60
2011,25117,Jonas Mouton,LB,LAC, 0.9737 ,2,29,61
2011,56745,Daniel Thomas,RB,MIA, 0.8667 ,2,30,62
2011,4815,Marcus Gilbert,OT,PIT, 0.9313 ,2,31,63
2011,37792,Randall Cobb,WR,GB, 0.8417 ,2,32,64
2011,52835,Terrell McClain,DT,CAR, 0.8622 ,3,1,65
2011,40897,Dontay Moch,LB,CIN, 0.8163 ,3,2,66
2011,39523,Nate Irving,LB,DEN, 0.8111 ,3,3,67
2011,38886,Kelvin Sheppard,LB,BUF, 0.8510 ,3,4,68
2011,41149,Robert Housler,TE,ARI, 0.7000 ,3,5,69
2011,5052,Justin Houston,DE,KC, 0.8875 ,3,6,70
2011,25026,Demarco Murray,RB,DAL, 0.9901 ,3,7,71
2011,5654,Martez Wilson,LB,NO, 0.9926 ,3,8,72
2011,52208,Stevan Ridley,RB,NE, 0.8875 ,3,9,73
2011,24441,Ryan Mallett,QB,NE, 0.9978 ,3,10,74
2011,5210,John Moffitt,OG,SEA, 0.8333 ,3,11,75
2011,//247sports.comNA,William Rackley,OG,JAX,NULL,3,12,76
2011,5679,Jurrell Casey,DT,TEN, 0.9056 ,3,13,77
2011,54389,Austin Pettis,WR,LAR, 0.8556 ,3,14,78
2011,52482,Leonard Hankerson,WR,WAS, 0.8733 ,3,15,79
2011,6872,Chris Culliver,DB,SF, 0.9810 ,3,16,80
2011,9206,Demarcus Van,DB,LV,NULL,3,17,81
2011,53914,Vincent Brown,WR,LAC, 0.7976 ,3,18,82
2011,53369,Jerrel Jernigan,WR,NYG, 0.8333 ,3,19,83
2011,53300,Mason Foster,LB,TB, 0.8198 ,3,20,84
2011,39719,Jah Reid,OT,BAL, 0.7444 ,3,21,85
2011,24609,Allen Bailey,DE,KC, 0.9793 ,3,22,86
2011,24788,Drake Nevis,DT,IND, 0.9065 ,3,23,87
2011,39304,Johnny Patrick,DB,NO, 0.8333 ,3,24,88
2011,5763,Shareece Wright,DB,LAC, 0.9368 ,3,25,89
2011,54000,Curtis Marsh,DB,PHI, 0.7444 ,3,26,90
2011,5024,Akeem Dent,LB,ATL, 0.8938 ,3,27,91
2011,24604,Joseph Barksdale,OT,LV, 0.9721 ,3,28,92
2011,53109,Chris Conte,DB,CHI, 0.8563 ,3,29,93
2011,25258,Kenrick Ellis,DT,NYJ, 0.9372 ,3,30,94
2011,4577,Curtis Brown,DB,PIT, 0.9849 ,3,31,95
2011,57782,Alex Green,RB,GB, 0.8444 ,3,32,96
2011,//247sports.comNA,Slone Fua,DT,CAR,NULL,3,33,97
2011,52400,Brandon Hogan,DB,CAR, 0.8542 ,4,1,98
2011,54604,K.J. Wright,LB,SEA, 0.8333 ,4,2,99
2011,14569,Da'Norris Searcy,DB,BUF,NULL,4,3,100
2011,5003,Clint Boling,OG,CIN, 0.8545 ,4,4,101
2011,64889,Jordan Cameron,TE,CLE,NULL,4,5,102
2011,4566,Sam Acho,LB,ARI, 0.9200 ,4,6,103
2011,8473,Luke Stocker,TE,TB, 0.8653 ,4,7,104
2011,53045,Roy Helu,RB,WAS, 0.8385 ,4,8,105
2011,24618,Christian Ballard,DT,MIN, 0.9439 ,4,9,106
2011,5028,Kris Durham,WR,SEA, 0.8670 ,4,10,107
2011,39744,Quinton Carter,DB,DEN, 0.8622 ,4,11,108
2011,9209,Colin McCarthy,LB,TEN,NULL,4,12,109
2011,//247sports.comNA,David Arking,OG,DAL,NULL,4,13,110
2011,//247sports.comNA,Edmond Gates,WR,MIA,NULL,4,14,111
2011,//247sports.comNA,Greg Salas,WR,LAR,NULL,4,15,112
2011,10595,Chimdi Chekwa,DB,LV,NULL,4,16,113
2011,76605,Cecil Shorts,WR,JAX,NULL,4,17,114
2011,54632,Kendall Hunter,RB,SF, 0.8590 ,4,18,115
2011,53400,Casey Matthews,LB,PHI, 0.8764 ,4,19,116
2011,39241,James Brewer,OT,NYG, 0.7222 ,4,20,117
2011,39804,Jalil Brown,DB,KC, 0.7000 ,4,21,118
2011,39538,Delone Carter,RB,IND, 0.8333 ,4,22,119
2011,76109,Alex Henery,K,PHI,NULL,4,23,120
2011,40439,Chris Prosinski,DB,JAX, 0.7889 ,4,24,121
2011,5502,Chris Hairston,OT,BUF,NULL,4,25,122
2011,55036,Tandon Doss,WR,BAL, 0.8431 ,4,26,123
2011,53741,Owen Marecic,RB,CLE, 0.7785 ,4,27,124
2011,85643,Taiwan Jones,RB,LV,NULL,4,28,125
2011,52511,Bilal Powell,RB,NYJ, 0.8111 ,4,29,126
2011,41465,Rashad Carmichael,DB,HOU, 0.8288 ,4,30,127
2011,76496,Cortez Allen,DB,PIT,NULL,4,31,128
