Year,ID,Player,POS,Team,Rating,Round,RD_pick,Draft_pick
2015,7406,Jameis Winston,QB,TB, 0.9915 ,1,1,1
2015,7219,Marcus Mariota,QB,TEN, 0.8631 ,1,2,2
2015,973,Dante Fowler,LB,JAX, 0.9842 ,1,3,3
2015,9272,Amari Cooper,WR,LV, 0.9776 ,1,4,4
2015,2885,Brandon Scherff,OG,WAS, 0.8701 ,1,5,5
2015,9219,Leonard Williams,DE,NYJ, 0.9758 ,1,6,6
2015,27320,Kevin White,WR,CHI, 0.8343 ,1,7,7
2015,3765,Vic Beasley,LB,ATL, 0.8622 ,1,8,8
2015,10914,Ereck Flowers,OG,NYG, 0.9349 ,1,9,9
2015,11468,Todd Gurley,RB,LAR, 0.9654 ,1,10,10
2015,579,Trae Waynes,DB,MIN, 0.8226 ,1,11,11
2015,1100,Danny Shelton,DT,CLE, 0.8826 ,1,12,12
2015,7192,Andrus Peat,OT,NO, 0.9849 ,1,13,13
2015,2052,DeVante Parker,WR,MIA, 0.8865 ,1,14,14
2015,578,Melvin Gordon,RB,LAC, 0.8983 ,1,15,15
2015,3955,Kevin Johnson,DB,HOU, 0.8288 ,1,16,16
2015,7332,Arik Armstead,DT,SF, 0.9917 ,1,17,17
2015,7055,Marcus Peters,DB,KC, 0.8634 ,1,18,18
2015,3806,Cameron Erving,OC,CLE, 0.8590 ,1,19,19
2015,7477,Nelson Agholor,WR,PHI, 0.9854 ,1,20,20
2015,1169,Cedric Ogbuehi,OT,CIN, 0.9412 ,1,21,21
2015,524,Alvin Dupree,DE,PIT, 0.8468 ,1,22,22
2015,8107,Shane Ray,DE,DEN, 0.8807 ,1,23,23
2015,2568,D.J. Humphries,OT,ARI, 0.9980 ,1,24,24
2015,7424,Shaq Thompson,LB,CAR, 0.9978 ,1,25,25
2015,9824,Breshad Perriman,WR,BAL, 0.7701 ,1,26,26
2015,3157,Byron Jones,DB,DAL, 0.8111 ,1,27,27
2015,3801,Laken Tomlinson,OG,DET, 0.8670 ,1,28,28
2015,693,Phillip Dorsett,WR,IND, 0.8731 ,1,29,29
2015,25129,Damarious Randall,DB,GB, 0.8413 ,1,30,30
2015,216,Stephone Anthony,LB,NO, 0.9905 ,1,31,31
2015,1788,Malcom Brown,DT,NE, 0.9944 ,1,32,32
2015,1652,Landon Collins,DB,NYG, 0.9971 ,2,1,33
2015,2108,Donovan Smith,OT,TB, 0.9241 ,2,2,34
2015,280,Mario Edwards,DT,LV, 0.9995 ,2,3,35
2015,7405,T.J. Yeldon,RB,JAX, 0.9876 ,2,4,36
2015,648,Devin Smith,WR,NYJ, 0.8895 ,2,5,37
2015,8606,Preston Smith,DE,WAS, 0.7782 ,2,6,38
2015,2004,Eddie Goldman,DT,CHI, 0.9944 ,2,7,39
2015,7482,Dorial Green-Beckham,WR,TEN, 0.9998 ,2,8,40
2015,9566,Devin Funchess,WR,CAR, 0.9095 ,2,9,41
2015,8137,Jalen Collins,DB,ATL, 0.8772 ,2,10,42
2015,8602,Benardrick McKinney,LB,HOU, 0.8209 ,2,11,43
2015,3688,Hau'oli Kikaha,LB,NO, 0.8542 ,2,12,44
2015,5823,Eric Kendricks,LB,MIN, 0.8622 ,2,13,45
2015,81905,Jaquiski Tartt,DB,SF,NULL,2,14,46
2015,2481,Eric Rowe,DB,PHI, 0.8665 ,2,15,47
2015,7769,Denzel Perryman,LB,LAC, 0.8857 ,2,16,48
2015,3441,Mitch Morse,OG,KC, 0.8826 ,2,17,49
2015,823,Ronald Darby,DB,BUF, 0.9879 ,2,18,50
2015,78156,Nate Orchard,DE,CLE, 0.8449 ,2,19,51
2015,7108,Jordan Phillips,DT,MIA, 0.9740 ,2,20,52
2015,1869,Jake Fisher,OT,CIN, 0.8793 ,2,21,53
2015,510,Ameer Abdullah,RB,DET, 0.8653 ,2,22,54
2015,11407,Maxx Williams,TE,BAL, 0.8388 ,2,23,55
2015,615,Senquez Golson,DB,PIT, 0.8876 ,2,24,56
2015,3028,Rob Havenstein,OT,LAR, 0.8653 ,2,25,57
2015,9482,Markus Golden,DE,ARI, 0.8367 ,2,26,58
2015,6246,Ty Sambrailo,OT,DEN, 0.7628 ,2,27,59
2015,1996,Randy Gregory,LB,DAL, 0.9166 ,2,28,60
2015,82008,Ali Marpet,OC,TB,NULL,2,29,61
2015,59412,Quinten Rollins,DB,GB,NULL,2,30,62
2015,7072,Frank Clark,DE,SEA, 0.8516 ,2,31,63
2015,2474,Jordan Richards,DB,NE, 0.8755 ,2,32,64
2015,82010,D'Joun Smith,DB,IND,NULL,3,1,65
2015,11382,Jeremiah Poutasi,OG,TEN, 0.9201 ,3,2,66
2015,1411,A.J. Cann,OG,JAX, 0.9375 ,3,3,67
2015,3855,Clive Walford,TE,LV, 0.8333 ,3,4,68
2015,2327,Tyler Lockett,WR,SEA, 0.8497 ,3,5,69
2015,22477,Jaelen Strong,WR,HOU, 0.8772 ,3,6,70
2015,3612,Hroniss Grasu,OC,CHI, 0.8670 ,3,7,71
2015,2047,Jamon Brown,OT,LAR, 0.8609 ,3,8,72
2015,11510,Tevin Coleman,RB,ATL, 0.8686 ,3,9,73
2015,1105,Owamagbe Odighizuwa,DE,NYG, 0.9912 ,3,10,74
2015,6257,Garrett Grayson,QB,NO, 0.8556 ,3,11,75
