Year,ID,Player,POS,Team,Rating,Round,RD_pick,Draft_pick
2012,23337,Andrew Luck,QB,IND, 0.9782 ,1,1,1
2012,15797,Robert Griffin,QB,WAS, 0.8941 ,1,2,2
2012,10739,Trent Richardson,RB,CLE, 0.9972 ,1,3,3
2012,5710,Matt Kalil,OT,MIN, 0.9892 ,1,4,4
2012,56821,Justin Blackmon,WR,JAX, 0.8528 ,1,5,5
2012,27340,Morris Claiborne,DB,DAL, 0.8715 ,1,6,6
2012,10744,Mark Barron,DB,TB, 0.9665 ,1,7,7
2012,5335,Ryan Tannehill,QB,MIA, 0.8510 ,1,8,8
2012,30770,Luke Kuechly,LB,CAR, 0.8684 ,1,9,9
2012,6847,Stephon Gilmore,DB,BUF, 0.9812 ,1,10,10
2012,56537,Dontari Poe,DT,KC, 0.8306 ,1,11,11
2012,14283,Fletcher Cox,DT,PHI, 0.9254 ,1,12,12
2012,7886,Michael Floyd,WR,ARI, 0.9914 ,1,13,13
2012,23616,Michael Brockers,DT,LAR, 0.9169 ,1,14,14
2012,3278,Bruce Irvin,DE,SEA, 0.9448 ,1,15,15
2012,11561,Quinton Coples,DE,NYJ, 0.9131 ,1,16,16
2012,10699,Dre Kirkpatrick,DB,CIN, 0.9918 ,1,17,17
2012,6858,Melvin Ingram,DE,LAC, 0.8875 ,1,18,18
2012,54358,Shea McClellin,DE,CHI, 0.7889 ,1,19,19
2012,24434,Kendall Wright,WR,TEN, 0.9082 ,1,20,20
2012,56803,Chandler Jones,DE,NE, 0.7667 ,1,21,21
2012,75862,Brandon Weeden,QB,CLE,NULL,1,22,22
2012,13872,Riley Reiff,OT,DET, 0.8639 ,1,23,23
2012,24369,David DeCastro,OG,PIT, 0.8847 ,1,24,24
2012,10896,Dont'a Hightower,LB,NE, 0.8938 ,1,25,25
2012,5614,Whitney Mercilus,DE,HOU, 0.8542 ,1,26,26
2012,5207,Kevin Zeitler,OG,CIN, 0.8556 ,1,27,27
2012,24157,Nick Perry,DE,GB, 0.9713 ,1,28,28
2012,7963,Harrison Smith,DB,MIN, 0.8875 ,1,29,29
2012,5604,A.J. Jenkins,WR,SF, 0.8916 ,1,30,30
2012,54356,Doug Martin,RB,TB, 0.7771 ,1,31,31
2012,19049,David Wilson,RB,NYG, 0.9585 ,1,32,32
2012,76652,Brian Quick,WR,LAR,NULL,2,1,33
2012,53687,Coby Fleener,TE,IND, 0.8333 ,2,2,34
2012,10785,Courtney Upshaw,LB,BAL, 0.9500 ,2,3,35
2012,13783,Derek Wolfe,DT,DEN,NULL,2,4,36
2012,53195,Mitchell Schwartz,OT,CLE, 0.8576 ,2,5,37
2012,5470,Andre Branch,DE,JAX, 0.8111 ,2,6,38
2012,4835,Janoris Jenkins,DB,LAR, 0.9744 ,2,7,39
2012,58042,Amini Silatolu,OT,CAR, 0.7667 ,2,8,40
2012,5041,Cordy Glenn,OT,BUF, 0.9108 ,2,9,41
2012,55628,Jonathan Martin,OT,MIA, 0.8764 ,2,10,42
2012,5924,Stephen Hill,WR,NYJ, 0.8782 ,2,11,43
2012,5564,Jeff Allen,OT,KC,NULL,2,12,44
2012,6838,Alshon Jeffery,WR,CHI, 0.9487 ,2,13,45
2012,55308,Mychal Kendricks,LB,PHI, 0.8559 ,2,14,46
2012,56373,Bobby Wagner,LB,SEA, 0.7000 ,2,15,47
2012,5655,Tavon Wilson,DB,NE, 0.8542 ,2,16,48
2012,53718,Kendall Reyes,DT,LAC, 0.7444 ,2,17,49
2012,7163,Isaiah Pead,RB,LAR,NULL,2,18,50
2012,8310,Jerel Worthy,DT,GB, 0.8137 ,2,19,51
2012,11559,Zach Brown,LB,TEN, 0.9012 ,2,20,52
2012,5434,Devon Still,DT,CIN, 0.9382 ,2,21,53
2012,15850,Ryan Broyles,WR,DET, 0.8844 ,2,22,54
2012,5203,Peter Konz,OC,ATL, 0.8781 ,2,23,55
2012,10565,Mike Adams,OT,PIT, 0.9887 ,2,24,56
2012,28311,Brock Osweiler,QB,DEN, 0.8528 ,2,25,57
2012,3458,Lavonte David,LB,TB, 0.8778 ,2,26,58
2012,53777,Vinny Curry,DE,PHI, 0.7222 ,2,27,59
2012,52822,Kelechi Osemele,OT,BAL, 0.8229 ,2,28,60
2012,14582,LaMichael James,RB,SF, 0.8736 ,2,29,61
2012,55050,Casey Hayward,DB,GB, 0.8333 ,2,30,62
2012,23490,Rueben Randle,WR,NYG, 0.9967 ,2,31,63
2012,5459,Dwayne Allen,TE,IND, 0.9381 ,3,1,64
2012,76610,Trumaine Johnson,DB,LAR,NULL,3,2,65
2012,36172,Josh Robinson,DB,MIN, 0.8906 ,3,3,66
2012,57831,Ronnie Hillman,RB,DEN, 0.8479 ,3,4,67
2012,10650,Devier Posey,WR,HOU, 0.9769 ,3,5,68
2012,55309,T.J. Graham,WR,BUF, 0.8431 ,3,6,69
2012,53097,Bryan Anger,P,JAX, 0.8510 ,3,7,70
2012,52460,Josh Leribeus,OG,WAS, 0.8333 ,3,8,71
2012,13183,Olivier Vernon,DE,MIA, 0.9214 ,3,9,72
2012,24331,Brandon Taylor,DB,LAC, 0.9249 ,3,10,73
2012,52964,Donald Stephenson,OT,KC, 0.8701 ,3,11,74
2012,13737,Russell Wilson,QB,SEA, 0.8163 ,3,12,75
2012,54243,Brandon Brooks,OG,HOU, 0.8556 ,3,13,76
2012,54669,Demario Davis,LB,NYJ, 0.7000 ,3,14,77
2012,54898,Michael Egnew,TE,MIA, 0.7889 ,3,15,78
2012,53539,Brandon Hardin,DB,CHI, 0.8181 ,3,16,79
2012,15830,Jamell Fleming,DB,ARI, 0.8844 ,3,17,80
2012,6599,Tyrone Crawford,DE,DAL, 0.8667 ,3,18,81
2012,16246,Mike Martin,DT,TEN, 0.9107 ,3,19,82
2012,28694,Mohamed Sanu,WR,CIN, 0.8604 ,3,20,83
2012,57149,Bernard Pierce,RB,BAL, 0.7667 ,3,21,84
2012,56283,Dwight Bentley,DB,DET, 0.7889 ,3,22,85
2012,8948,Sean Spence,LB,PIT, 0.9694 ,3,23,86
2012,7642,John Hughes,DT,CLE,NULL,3,24,87
2012,4711,Nick Foles,QB,PHI, 0.8510 ,3,25,88
2012,27342,Akiem Hicks,DE,NO, 0.9000 ,3,26,89
2012,14047,Jake Bequette,DE,NE, 0.8333 ,3,27,90
2012,4388,Lamar Holmes,OT,ATL, 0.8667 ,3,28,91
2012,55246,T.Y. Hilton,WR,IND, 0.7444 ,3,29,92
2012,5551,Brandon Thompson,DT,CIN, 0.9713 ,3,30,93
2012,19048,Jayron Hosley,DB,NYG, 0.9129 ,3,31,94
2012,//247sports.comNA,Tony Bergstrom,OG,LV,NULL,3,32,95
2012,15818,Chris Givens,WR,LAR, 0.8111 ,4,1,96
2012,8761,Lamar Miller,RB,MIA, 0.9677 ,4,2,97
2012,52393,Gino Gradkowski,OG,BAL, 0.8701 ,4,3,98
2012,5056,Ben Jones,OC,HOU, 0.9156 ,4,4,99
2012,8964,Travis Benjamin,WR,CLE, 0.9259 ,4,5,100
2012,53115,Omar Bolden,DB,DEN, 0.9000 ,4,6,101
2012,8221,Kirk Cousins,QB,WAS, 0.8083 ,4,7,102
2012,52944,Frank Alexander,DE,CAR, 0.8844 ,4,8,103
2012,14026,Joe Adams,WR,CAR, 0.9302 ,4,9,104
2012,6003,Nigel Bradham,LB,BUF, 0.9893 ,4,10,105
2012,54011,Robert Turbin,RB,SEA, 0.7674 ,4,11,106
2012,54119,Devon Wylie,WR,KC, 0.7889 ,4,12,107
2012,30155,Philip Blake,OC,DEN, 0.8111 ,4,13,108
2012,24290,Alameda Ta'amu,DT,PIT, 0.9036 ,4,14,109
2012,56300,Ladarius Green,TE,LAC, 0.7667 ,4,15,110
2012,52434,Evan Rodriguez,TE,CHI, 0.8733 ,4,16,111
2012,24298,Bobby Massie,OT,ARI, 0.9333 ,4,17,112
2012,16011,Kyle Wilber,LB,DAL,NULL,4,18,113
2012,4832,Jaye Howard,DT,SEA, 0.9375 ,4,19,114
2012,5541,Coty Sensabaugh,DB,TEN, 0.7444 ,4,20,115
2012,5015,Orson Charles,TE,CIN, 0.9464 ,4,21,116
2012,15996,Joe Looney,OG,SF, 0.8608 ,4,22,117
2012,14122,Jarius Wright,WR,MIN, 0.8995 ,4,23,118
2012,4646,Keenan Robinson,LB,WAS, 0.9700 ,4,24,119
2012,53721,James-Michael Johnson,LB,CLE, 0.7222 ,4,25,120
2012,8268,Keshawn Martin,WR,HOU, 0.8556 ,4,26,121
2012,53272,Nick Toon,WR,NO, 0.9000 ,4,27,122
2012,5004,Brandon Boykin,DB,PHI, 0.9020 ,4,28,123
2012,24629,Ron Brooks,DB,BUF, 0.9270 ,4,29,124
2012,15841,Ronnell Lewis,LB,DET, 0.9797 ,4,30,125
2012,11642,Jared Crick,DT,HOU, 0.8497 ,4,31,126
2012,54280,Adrien Robinson,TE,NYG, 0.8510 ,4,32,127
2012,53787,Rhett Ellison,RB,MIN, 0.8701 ,4,33,128
2012,53915,Miles Burris,LB,LV, 0.8479 ,4,34,129
2012,54811,Christian Thompson,DB,BAL, 0.8684 ,4,35,130
2012,2493,Brandon Mosley,OT,NYG, 0.8667 ,4,36,131
2012,13880,Mike Daniels,DT,GB, 0.7667 ,4,37,132
2012,//247sports.comNA,Jeron McMillian,DB,GB,NULL,4,38,133
2012,14054,Greg Childs,WR,MIN, 0.8684 ,4,39,134
2012,75848,Matt Johnson,DB,DAL,NULL,4,40,135
2012,10819,Josh Chapman,DT,IND, 0.8545 ,5,1,136
2012,8443,Malik Jackson,DT,DEN, 0.8875 ,5,2,137
2012,55596,Tahir Whitehead,LB,DET, 0.7444 ,5,3,138
2012,7866,Robert Blanton,DB,MIN, 0.8979 ,5,4,139
2012,20491,Najee Goode,LB,TB,NULL,5,5,140
2012,54315,Adam Gettis,OG,WAS, 0.7878 ,5,6,141
2012,53864,Brandon Marshall,LB,JAX, 0.7667 ,5,7,142
2012,76368,Josh Norman,DB,CAR,NULL,5,8,143
2012,6073,Zebrie Sanders,OT,BUF, 0.9101 ,5,9,144
2012,55743,Taylor Thompson,TE,TEN, 0.8333 ,5,10,145
2012,2462,DeQuan Menzie,DB,KC, 0.9111 ,5,11,146
2012,52692,Tank Carder,LB,BUF, 0.7667 ,5,12,147
2012,//247sports.comNA,Chris Greenwood,DB,DET,NULL,5,13,148
2012,5444,Johnnie Troutman,OG,LAC,NULL,5,14,149
2012,6907,Rokevious Watkins,OT,LAR, 0.7889 ,5,15,150
2012,24333,Senio Kelemete,OT,ARI, 0.8898 ,5,16,151
2012,19182,Danny Coale,WR,DAL, 0.8149 ,5,17,152
2012,76088,Dennis Kelly,OT,PHI, 0.7667 ,5,18,153
2012,53535,Korey Toomer,LB,SEA, 0.7222 ,5,19,154
2012,15870,Josh Kaddu,LB,MIA, 0.7667 ,5,20,155
