Year,ID,Player,POS,Team,Rating,Round,RD_pick,Draft_pick
2017,21127,Myles Garrett,DE,CLE, 0.9993 ,1,1,1
2017,18636,Mitchell Trubisky,QB,CHI, 0.9172 ,1,2,2
2017,15007,Solomon Thomas,DE,SF, 0.9885 ,1,3,3
2017,14147,Leonard Fournette,RB,JAX, 0.9996 ,1,4,4
2017,29001,Corey Davis,WR,TEN, 0.7741 ,1,5,5
2017,13171,Jamal Adams,DB,NYJ, 0.9850 ,1,6,6
2017,10555,Mike Williams,WR,LAC, 0.9111 ,1,7,7
2017,20462,Christian McCaffrey,RB,CAR, 0.9593 ,1,8,8
2017,11810,John Ross,WR,CIN, 0.9001 ,1,9,9
2017,21009,Patrick Mahomes II,QB,KC, 0.8807 ,1,10,10
2017,23253,Marshon Lattimore,DB,NO, 0.9737 ,1,11,11
2017,13254,Deshaun Watson,QB,HOU, 0.9794 ,1,12,12
2017,46036538,Haason Reddick,DE,ARI,NULL,1,13,13
2017,24009,Derek Barnett,DE,PHI, 0.9181 ,1,14,14
2017,30798,Malik Hooker,DB,IND, 0.8858 ,1,15,15
2017,16572,Marlon Humphrey,DB,BAL, 0.9942 ,1,16,16
2017,13712,Jonathan Allen,DE,WAS, 0.9924 ,1,17,17
2017,16745,Adoree' Jackson,DB,TEN, 0.9960 ,1,18,18
2017,12042,O.J. Howard,TE,TB, 0.9916 ,1,19,19
2017,77837,Garett Bolles,OT,DEN, 0.9428 ,1,20,20
2017,16185,Jarrad Davis,LB,DET, 0.8681 ,1,21,21
2017,29007,Charles Harris,DE,MIA, 0.7667 ,1,22,22
2017,19407,Evan Engram,TE,NYG, 0.8435 ,1,23,23
2017,18760,Gareon Conley,DB,LV, 0.9329 ,1,24,24
2017,13084,Jabrill Peppers,DB,CLE, 0.9992 ,1,25,25
2017,21300,Takkarist McKinley,DE,ATL, 0.8985 ,1,26,26
2017,16628,Tre'Davious White,DB,BUF, 0.9763 ,1,27,27
2017,7639,Taco Charlton,DE,DAL, 0.9386 ,1,28,28
2017,30655,David Njoku,TE,CLE, 0.8478 ,1,29,29
2017,16455,T.J. Watt,LB,PIT, 0.8425 ,1,30,30
2017,546,Reuben Foster,LB,SF, 0.9961 ,1,31,31
2017,91084,Ryan Ramczyk,OT,NO,NULL,1,32,32
2017,21183,Kevin King,DB,GB, 0.8628 ,2,1,33
2017,14186,Cam Robinson,OT,JAX, 0.9980 ,2,2,34
2017,18662,Malik McDowell,DE,SEA, 0.9853 ,2,3,35
2017,18436,Budda Baker,DB,ARI, 0.9741 ,2,4,36
2017,22712,Zay Jones,WR,BUF, 0.8159 ,2,5,37
2017,13086,Forrest Lamp,OT,LAC, 0.7788 ,2,6,38
2017,6475,Marcus Maye,DB,NYJ, 0.9512 ,2,7,39
2017,25841,Curtis Samuel,RB,CAR, 0.9721 ,2,8,40
2017,16619,Dalvin Cook,RB,MIN, 0.9940 ,2,9,41
2017,22823,Marcus Williams,DB,NO,NULL,2,10,42
2017,33157,Sidney Jones,DB,PHI, 0.8355 ,2,11,43
2017,79230,Gerald Everett,TE,LAR,NULL,2,12,44
2017,46039233,Adam Shaheen,TE,CHI,NULL,2,13,45
2017,18388,Quincy Wilson,DB,IND, 0.8843 ,2,14,46
2017,12309,Tyus Bowser,DE,BAL, 0.8310 ,2,15,47
2017,22521,Joe Mixon,RB,CIN, 0.9907 ,2,16,48
2017,10434,Ryan Anderson,LB,WAS, 0.9634 ,2,17,49
