Year,ID,Player,POS,Team,Rating,Round,RD_pick,Draft_pick
2021,61350,Trevor Lawrence,QB,JAX, 0.9999 ,1,1,1
2021,93503,Zach Wilson,QB,NYJ, 0.8540 ,1,2,2
2021,93591,Trey Lance,QB,SF, 0.8104 ,1,3,3
2021,80561,Kyle Pitts,TE,ATL, 0.9334 ,1,4,4
2021,82059,Ja'Marr Chase,WR,CIN, 0.9589 ,1,5,5
2021,85880,Jaylen Waddle,WR,MIA, 0.9791 ,1,6,6
2021,89959,Penei Sewell,OT,DET, 0.9709 ,1,7,7
2021,46037954,Jaycee Horn,DB,CAR, 0.9188 ,1,8,8
2021,76862,Patrick Surtain II,DB,DEN, 0.9973 ,1,9,9
2021,57201,DeVonta Smith,WR,PHI, 0.9717 ,1,10,10
2021,91048,Justin Fields,QB,CHI, 0.9998 ,1,11,11
2021,77264,Micah Parsons,LB,DAL, 0.9982 ,1,12,12
2021,87674,Rashawn Slater,OG,LAC, 0.8584 ,1,13,13
2021,85694,Alijah Vera-Tucker,OG,NYJ, 0.9463 ,1,14,14
2021,80433,Mac Jones,QB,NE, 0.8815 ,1,15,15
2021,45573108,Zaven Collins,LB,ARI, 0.7991 ,1,16,16
2021,80818,Alex Leatherwood,OT,LV, 0.9981 ,1,17,17
2021,84837,Jaelan Phillips,DE,MIA, 0.9989 ,1,18,18
2021,89465,Jamin Davis,LB,WAS, 0.8472 ,1,19,19
2021,87107,Kadarius Toney,WR,NYG, 0.8790 ,1,20,20
2021,87809,Kwity Paye,DE,IND, 0.8696 ,1,21,21
2021,89631,Caleb Farley,DB,TEN, 0.8781 ,1,22,22
2021,93559,Christian Darrisaw,OT,MIN, 0.8588 ,1,23,23
2021,62925,Najee Harris,RB,PIT, 0.9984 ,1,24,24
2021,88104,Travis Etienne,RB,JAX, 0.9171 ,1,25,25
2021,45572630,Greg Newsome,DB,CLE, 0.8667 ,1,26,26
2021,46040957,Rashod Bateman,WR,BAL, 0.8914 ,1,27,27
2021,88539,Payton Turner,DE,NO, 0.7850 ,1,28,28
2021,79796,Eric Stokes,DB,GB, 0.8578 ,1,29,29
2021,90457,Gregory Rousseau,DE,BUF, 0.8804 ,1,30,30
2021,46038807,Jayson Oweh,DE,BAL, 0.9617 ,1,31,31
2021,45572683,Joe Tryon,LB,TB, 0.8525 ,1,32,32
2021,87014,Tyson Campbell,DB,JAX, 0.9944 ,2,1,33
2021,82387,Elijah Moore,WR,NYJ, 0.9205 ,2,2,34
2021,46046326,Javonte Williams,RB,DEN, 0.8344 ,2,3,35
2021,93203,Jevon Holland,DB,MIA, 0.9324 ,2,4,36
2021,76786,Landon Dickerson,OG,PHI, 0.9814 ,2,5,37
2021,46043265,Christian Barmore,DT,NE, 0.9298 ,2,6,38
2021,80213,Teven Jenkins,OT,CHI, 0.8422 ,2,7,39
2021,83496,Richie Grant,DB,ATL, 0.7857 ,2,8,40
2021,77671,Levi Onwuzurike,DE,DET, 0.8997 ,2,9,41
2021,33922,Liam Eichenberg,OT,MIA, 0.9614 ,2,10,42
2021,89121,Trevon Moehrig,DB,LV, 0.8816 ,2,11,43
2021,88322,Kelvin Joseph,DB,DAL, 0.9784 ,2,12,44
2021,75365,Walker Little,OT,JAX, 0.9952 ,2,13,45
2021,86491,Jackson Carman,OT,CIN, 0.9894 ,2,14,46
2021,78738,Asante Samuel Jr.,DB,LAC, 0.9702 ,2,15,47
2021,75957,Aaron Banks,OG,SF, 0.9301 ,2,16,48
2021,92949,Rondale Moore,WR,ARI, 0.9123 ,2,17,49
2021,46035763,Azeez Ojulari,LB,NYG, 0.9391 ,2,18,50
2021,93212,Samuel Cosmi,OT,WAS, 0.8396 ,2,19,51
2021,89224,Jeremiah Owusu-Koramoah,LB,CLE, 0.8721 ,2,20,52
2021,80315,Dillon Radunz,OT,TEN, 0.7481 ,2,21,53
2021,81070,Dayo Odeyingbo,DE,IND, 0.8591 ,2,22,54
2021,90828,Pat Freiermuth,TE,PIT, 0.9149 ,2,23,55
2021,80846,D'Wayne Eskridge,WR,SEA, 0.8228 ,2,24,56
2021,46036825,Tutu Atwell,WR,LAR, 0.8646 ,2,25,57
2021,77867,Nick Bolton,LB,KC, 0.8484 ,2,26,58
2021,82357,Terrace Marshall,WR,CAR, 0.9930 ,2,27,59
2021,79411,Pete Werner,LB,NO, 0.8994 ,2,28,60
2021,78750,Carlos Basham Jr.,DE,BUF, 0.8161 ,2,29,61
2021,36644,Josh Myers,OT,GB, 0.9757 ,2,30,62
2021,81791,Creed Humphrey,NULL,KC, 0.8962 ,2,31,63
2021,82817,Kyle Trask,QB,TB, 0.7984 ,2,32,64
2021,46039441,Andre Cisco,DB,JAX, 0.8552 ,3,1,65
2021,78250,Kellen Mond,QB,MIN, 0.9498 ,3,2,66
2021,56653,Davis Mills,QB,HOU, 0.9918 ,3,3,67
2021,94231,Jalen Mayfield,OT,ATL, 0.9062 ,3,4,68
2021,46036218,Joseph Ossai,LB,CIN, 0.9257 ,3,5,69
2021,79037,Brady Christensen,NULL,CAR, 0.7817 ,3,6,70
2021,82293,Aaron Robinson,DB,NYG, 0.8621 ,3,7,71
2021,91888,Alim McNeill,DT,DET, 0.9234 ,3,8,72
2021,46037801,Milton Williams,NULL,PHI, 0.7817 ,3,9,73
2021,84553,Benjamin St-Juste,DB,WAS, 0.8902 ,3,10,74
2021,78266,Osa Odighizuwa,DT,DAL, 0.8665 ,3,11,75
2021,83549,Paulson Adebo,DB,NO, 0.9482 ,3,12,76
2021,83355,Josh Palmer,WR,LAC, 0.8502 ,3,13,77
