Year,ID,Player,POS,HT,WT,High School,City,State,Rating,National_Rank,Position_Rank,State_Rank,Team
2019,88248,James Wiseman, C ,7-0,210,East,Memphis,TN,0.9999,1,1,1,memphis
2019,45572558,Anthony Edwards, SG ,6-5,215,Holy Spirit Preparatory School,Atlanta,GA,0.9994,2,1,1,georgia
2019,94244,Isaiah Stewart, C ,6-9,245,La Lumiere School,La Porte,IN,0.9993,3,2,1,washington
2019,86991,Cole Anthony, CG ,6-3,185,Oak Hill Academy,Mouth Of Wilson,VA,0.9992,4,1,1,north carolina
2019,46036336,RJ Hampton, CG ,6-5,185,Little Elm,Little Elm,TX,0.9984,5,2,1,NULL
2019,87377,Vernon Carey, C ,6-10,275,University School,Fort Lauderdale,FL,0.9983,6,3,1,duke
2019,86974,Scottie Lewis, SF ,6-5,185,Ranney School,Eatontown,NJ,0.9973,7,1,1,florida
2019,46046881,Jaden McDaniels, PF ,6-9,185,Federal Way,Federal Way,WA,0.9969,8,1,1,washington
2019,46035982,Nico Mannion, PG ,6-3,180,Pinnacle,Phoenix,AZ,0.9967,9,1,1,arizona
2019,94195,Tyrese Maxey, CG ,6-3,185,South Garland,Garland,TX,0.9963,10,3,2,kentucky
2019,45572914,Kahlil Whitney, SF ,6-6,190,Roselle Catholic,Roselle,NJ,0.9957,11,2,2,kentucky
2019,87062,Matthew Hurt, PF ,6-9,215,John Marshall Senior,Rochester,MN,0.9957,12,2,1,duke
2019,46037279,Josh Green, SF ,6-6,190,IMG Academy,Bradenton,FL,0.9954,13,3,2,arizona
2019,46041492,N'Faly Dante, C ,6-11,230,Sunrise Christian,Wichita,KS,0.9952,14,4,1,oregon
2019,86978,Precious Achiuwa, SF ,6-9,215,Montverde Academy,Montverde,FL,0.9950,15,4,3,memphis
2019,87838,Jeremiah Robinson-Earl, PF ,6-8,235,IMG Academy,Bradenton,FL,0.9948,16,3,4,villanova
2019,86994,Bryan Antoine, SG ,6-4.5,168,Ranney School,Eatontown,NJ,0.9939,17,2,3,villanova
2019,84000,Trendon Watford, PF ,6-9,230,Mountain Brook,Birmingham,AL,0.9935,18,4,1,lsu
2019,46043096,Samuell Williamson, SF ,6-6,180,Rockwall,Rockwall,TX,0.9930,19,5,3,louisville
