Year,ID,Player,POS,HT,WT,High School,City,State,Rating,National_Rank,Position_Rank,State_Rank,Team
2020,46047476,Cade Cunningham, PG ,6-6,215,Montverde Academy,Arlington,TX,0.9999,1,1,1,oklahoma state
2020,46036198,Jalen Green, CG ,6-5,170,Prolific Prep,Napa,CA,0.9998,2,1,1,NULL
2020,46035674,Evan Mobley, C ,6-11,205,Rancho Christian,Temecula,CA,0.9993,3,1,2,usc
2020,46056391,Jonathan Kuminga, SF ,6-8,205,The Patrick School,Congo,CONG,0.9990,4,1,1,NULL
2020,22628,Brandon Boston Jr., SG ,6-6,175,Sierra Canyon,Chatsworth,CA,0.9984,5,1,3,kentucky
2020,46049794,Ziaire Williams, SF ,6-7,175,Sierra Canyon,Chatsworth,CA,0.9983,6,2,4,stanford
2020,46039731,Scottie Barnes, PF ,6-8,210,Montverde Academy,Montverde,FL,0.9979,7,1,2,florida state
2020,46049162,Terrence Clarke, SG ,6-7,185,Brewster Academy,Boston,MA,0.9971,8,2,1,kentucky
2020,46035701,Greg Brown, PF ,6-9,195,Vandegrift,Austin,TX,0.9968,9,2,1,texas
2020,46056433,Moussa Cisse, C ,6-10,220,Lausanne Collegiate School,Memphis,TN,0.9968,10,2,1,memphis
2020,45572569,Jalen Suggs, CG ,6-5,200,Minnehaha Academy,Minneapolis,MN,0.9968,11,2,1,gonzaga
2020,46047630,Josh Christopher, SG ,6-5,215,Mayfair,Lakewood,CA,0.9967,12,3,5,arizona state
2020,94440,Jalen Johnson, SF ,6-8,215,Nicolet,Milwaukee,WI,0.9961,13,3,1,duke
2020,46049829,Caleb Love, PG ,6-3,170,Christian Brothers College,Saint Louis,MO,0.9956,14,2,1,north carolina
2020,46052778,Day'Ron Sharpe, C ,6-10,246,Montverde Academy,Montverde,FL,0.9946,15,3,3,north carolina
2020,46036362,Jaden Springer, CG ,6-4,204,IMG Academy,Bradenton,FL,0.9946,16,3,4,tennessee
2020,46050728,Daishen Nix, PG ,6-5,205,Trinity International Schools,Las Vegas,NV,0.9944,17,3,1,NULL
2020,45572967,Makur Maker, C ,6-11,235,Hillcrest Prep,Phoenix,AZ,0.9939,18,4,1,howard
2020,46035414,Keon Johnson, SG ,6-5,186,The Webb School,Bell Buckle,TN,0.9932,19,4,2,tennessee
2020,94693,Isaiah Todd, PF ,6-10,195,Word Of God Christian Academy,Raleigh,NC,0.9924,20,3,1,NULL
2020,46040037,Bryce Thompson, CG ,6-5,175,Booker T. Washington,Tulsa,OK,0.9923,21,4,1,kansas
2020,46047954,Walker Kessler, C ,7-0,245,Woodward Academy,Fairburn,GA,0.9923,22,5,1,north carolina
2020,46035780,Jeremy Roach, PG ,6-2,180,Paul VI Catholic,Fairfax,VA,0.9921,23,4,1,duke
2020,45573352,Sharife Cooper, PG ,6-0,160,McEachern,Marietta,GA,0.9920,24,5,2,auburn
2020,46043238,Cameron Thomas, SG ,6-3,180,Oak Hill Academy,Chesapeake,VA,0.9913,25,5,2,lsu
2020,46047999,DJ Steward, CG ,6-3,165,Whitney Young,Chicago,IL,0.9911,26,5,1,duke
2020,46054936,Khristian Lander, PG ,6-2,165,Francis Joseph Reitz Sch,Evansville,IN,0.9910,27,6,1,indiana
2020,46047763,Mark Williams, C ,7-0,225,IMG Academy,Bradenton,FL,0.9909,28,6,5,duke
2020,93840,Marcus Bagley, SF ,6-7,220,Sheldon,Sacramento,CA,0.9892,29,4,6,arizona state
2020,46048447,Isaiah Jackson, C ,6-9,200,Waterford Mott,Waterford,MI,0.9889,30,7,1,kentucky
2020,46080138,Josh Hall, SF ,6-9,190,Moravian Prep,Durham,NC,0.9888,31,5,2,NULL
2020,46056717,Devin Askew, PG ,6-3,195,Mater Dei,Santa Ana,CA,0.9886,32,7,7,kentucky
2020,46036282,Adam Miller, SG ,6-3,170,Morgan Park HS,Chicago,IL,0.9884,33,6,2,illinois
