Year,ID,Player,POS,HT,WT,High School,City,State,Rating,National_Rank,Position_Rank,State_Rank,Team
2021,46086233,Danny Stubbs, CG ,6-0,165,Pebblebrook,Mableton,GA,0.8578,283,31,23,georgia state
2021,46083625,Joseph Venzant, SG ,6-3,170,Midland Christian,Midland,TX,0.8578,284,56,21,liberty
2021,46097224,Nate Johnson, SG ,6-3,185,Lakota East,Middletown,OH,0.8578,285,57,7,akron
2021,46086034,T.J. Morris, SG ,6-3,165,Christ The King Regional,Middle Village,NY,0.8578,286,58,7,NULL
2021,46094574,Zach Hicks, PF ,6-7,185,Camden Catholic,Cherry Hill,NJ,0.8578,287,60,7,temple
2021,46058670,Matthew Stone, SF ,6-4,180,Kingfisher,Kingfisher,OK,0.8578,288,53,4,north texas
2021,46086329,Drew Williams, SF ,6-7,210,Scotland Campus,Chattanooga,TN,0.8578,289,54,11,tennessee state
2021,46094047,Tyler Shirley, SF ,6-6,185,Pebblebrook,Mableton,GA,0.8578,290,55,24,south alabama
2021,46103384,O'mar Stanley, C ,6-8,240,Link Year Prep,Branson,MO,0.8578,291,42,8,saint johns
2021,46113738,Jackie Johnson, PG ,5-10,180,Hargrave Military Academy,HS) ,NULL,0.8578,292,46,11,duquesne
2021,46115213,Quentin Diboundje, SG ,6-6,185,Montverde Academy,Montverde,FL,0.8573,293,59,25,tennessee
2021,46079384,Tevin Smith, SF ,6-4,180,Danville,Danville,IL,0.8562,294,56,7,NULL
2021,46057556,Jadin Johnson, PG ,6-3,170,Millard North,Omaha,NE,0.8562,295,47,4,old dominion
2021,46103451,Drissa Traore, PF ,6-7,210,Long Island Lutheran,Glen Head,NY,0.8560,296,61,8,saint johns
2021,46049895,Zaire Wade, CG ,6-3,170,Sierra Canyon,Chatsworth,CA,0.8560,297,32,31,NULL
2021,46103560,James Repass, C ,6-10,250,Providence,Jacksonville,FL,0.8544,298,43,26,furman
2021,46057595,Randy Brady, SF ,6-5,190,McEachern,Powder Springs,GA,0.8539,299,57,25,NULL
2021,46083264,Christian Bento, C ,6-11,210,Bishop Gorman,Las Vegas,NV,0.8536,300,44,6,NULL
2021,46050465,Malcolm Dread, SG ,6-4,170,Gonzaga,Washington,DC,0.8528,301,60,2,richmond
2021,46094070,Jason Nelson, PG ,5-10,175,John Marshall,Richmond,VA,0.8528,302,48,12,richmond
2021,46103469,Justin Neely, SF ,6-5,200,West Oaks Academy,Orlando,FL,0.8528,303,58,27,NULL
2021,46103020,Brandon Sanders, C ,6-10,205,South Miami Senior,Miami,FL,0.8528,304,45,28,NULL
2021,46058279,Jason Roche, SG ,6-4,180,St. Mary's College HS,Albany,CA,0.8525,305,61,32,citadel
2021,46084348,Ryan Riggs, C ,6-9,205,Dowling Catholic,West Des Moines,IA,0.8515,306,46,4,NULL
2021,46103542,Gavyn Elkamil, CG ,6-3,185,Link Year Prep,Branson,MO,0.8478,307,33,9,tulsa
2021,46103375,Sterling Chapman, SG ,6-5,200,Campus Haysville,Wichita,KS,0.8478,308,62,8,tulsa
2021,46110669,Devon Barnes, PG ,6-0,175,Shiloh,Snellville,GA,0.8456,309,49,26,NULL
2021,46098063,Ben Schwieger, SG ,6-5,180,Waubonsie Valley,Aurora,IL,0.8417,310,63,8,loyola
2021,46086315,Damon Nicholas, SG ,6-4,180,Duncanville,Duncanville,TX,0.8417,311,64,22,sam houston state
2021,46104035,Chrisdon Morgan, C ,6-8,225,DeSoto,DeSoto,TX,0.8417,312,47,23,north texas
2021,46098118,Malcolm Chimezie, PF ,6-7,220,Archbishop Stepinac,White Plains,NY,0.8393,313,62,9,boston
2021,46102764,Jace Carter, SG ,6-5,210,Astronaut,Titusville,FL,0.8378,314,65,29,uic
2021,46094130,Will Richard, CG ,6-5,170,Woodward Academy,Atlanta,GA,0.8367,315,34,27,belmont
2021,46098074,Kyle Ross, PF ,6-7,215,Lake Central,Saint John,IN,0.8306,316,63,12,NULL
2021,46086234,Jamall Clyce, SF ,6-6,180,Pebblebrook,Mableton,GA,0.8278,317,59,28,georgia state
2021,46098119,Javian McCollum, CG ,6-0,160,Fort Myers,Fort Myers,FL,0.8278,318,35,30,NULL
2021,46102818,AJ Braun, C ,6-9,215,Bishop Fenwick,Franklin,OH,0.8231,319,48,8,wright state
2021,46085370,Michael Jefferson, SG ,6-6,180,Dohn Community,Cincinnati,OH,0.8167,320,66,9,NULL
2021,46103371,Will Henderson, SF ,6-9,200,Scotland Campus,Richmond,VA,0.8117,321,60,12,NULL
