Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2021,34956,Keon Howard, DUAL ,0.8518,tulane,NULL,American Athletic,NULL
2021,46042233,David Summers, PRO ,0.8514,syracuse,NULL,ACC,NULL
2021,46080486,Kade Renfro, PRO ,0.8511,ole miss,arkansas,SEC,SEC
2021,92676,Stone Norton, PRO ,0.8497,florida international,southern illinois,Conference USA,Missouri Valley
2021,83650,Connor Blumrick, PRO ,0.8462,texas am,virginia tech,SEC,ACC
2021,46039637,Nik Scalzo, DUAL ,0.8454,kentucky,kentucky,SEC,SEC
2021,78346,Jairus Grissom, DUAL ,0.8452,eastern michigan,NULL,Mid-American,NULL
2021,46051954,Kaiden Bennett, DUAL ,0.8452,nevada,sacramento state,Mountain West,Big Sky
2021,49706,Devon Modster, PRO ,0.8450,california,NULL,Pacific-12,NULL
2021,77929,Tyrrell Pigrome, DUAL ,0.8429,western kentucky,NULL,Conference USA,NULL
2021,92657,Matt Valecce, PRO ,0.8423,boston college,NULL,ACC,NULL
2021,46053864,Kennique Bonner-Steward, DUAL ,0.8423,temple,NULL,American Athletic,NULL
2021,83805,Kenyon Oblad, PRO ,0.8416,unlv,NULL,Mountain West,NULL
2021,46040992,Sheldon Layman, PRO ,0.8410,memphis,austin peay,American Athletic,Ohio Valley
2021,46048386,Michael Lindauer, PRO ,0.8373,cincinnati,NULL,American Athletic,NULL
2021,46040491,Jakson Thomson, PRO ,0.8343,louisiana tech,NULL,Conference USA,NULL
2021,46054247,RJ Harvey Jr., DUAL ,0.8317,virginia,central florida,ACC,American Athletic
2021,46037509,Stephon Brown, DUAL ,0.8296,tcu,NULL,Big 12,NULL
2021,94730,Brady Martin, DUAL ,0.8282,rhode island,arkansas state,CAA,Sun Belt
2021,90794,Markevion Quinn, DUAL ,0.8267,memphis,NULL,American Athletic,NULL
2021,33902,Messiah deWeaver, DUAL ,0.8264,old dominion,NULL,Conference USA,NULL
2021,46056343,Clifton McDowell, DUAL ,0.8261,louisiana,NULL,Sun Belt,NULL
2021,92814,Asher O'Hara, DUAL ,0.8238,middle tennessee state,sacramento state,Conference USA,Big Sky
2021,35545,Danny Clark, PRO ,0.8217,vanderbilt,NULL,SEC,NULL
2021,82718,Ryan Glover, DUAL ,0.8207,pennsylvania,NULL,Ivy,NULL
2021,46096619,Parker McNeil, PRO ,0.8200,troy,NULL,Sun Belt,NULL
2021,46042708,Carson Baker, PRO ,0.8199,san diego state,NULL,Mountain West,NULL
2021,79899,Jeremiah Oatsvall, DUAL ,0.8194,austin peay,memphis,Ohio Valley,American Athletic
2021,88050,Colby Suits, PRO ,0.8154,louisiana monroe,louisiana monroe,Sun Belt,Sun Belt
2021,80287,Isaac Stiebeling, PRO ,0.8151,eastern michigan,NULL,Mid-American,NULL
2021,88318,Rhett Rodriguez, DUAL ,0.8149,arizona,NULL,Pacific-12,NULL
2021,45572471,Logan Holgorsen, PRO ,0.8106,houston,NULL,American Athletic,NULL
2021,89992,Marckell Grayson, PRO ,0.8079,unlv,NULL,Mountain West,NULL
2021,85546,Isaiah Green, PRO ,0.8073,marshall,tennessee state,Conference USA,Ohio Valley
2021,93779,Jason Bean, PRO ,0.8054,north texas,kansas,Conference USA,Big 12
2021,46053718,Alec Trujillo, PRO ,0.8052,san jose state,NULL,Mountain West,NULL
2021,89310,Michael Bonds, PRO ,0.8046,miami ohio,NULL,Mid-American,NULL
2021,46096510,Chance Lovertich, PRO ,0.8025,south alabama,mississippi state,Sun Belt,SEC
2021,46036563,Carson Welch, PRO ,0.8014,smu,NULL,American Athletic,NULL
2021,86612,Andrew Brito, PRO ,0.8005,massachusetts,NULL,FBS Independents,NULL
2021,46035653,Fred Payton, DUAL ,0.8004,coastal carolina,mercer,Sun Belt,Southern
2021,85382,Jack Smith, PRO ,0.7979,arizona state,NULL,Pacific-12,NULL
2021,57566,Shai Werts, DUAL ,0.7949,georgia southern,louisville,Sun Belt,ACC
2021,93118,Ben Wooldridge, PRO ,0.7903,fresno state,louisiana,Mountain West,Sun Belt
2021,46047481,Jake Simmons, PRO ,0.7900,san jose state,NULL,Mountain West,NULL
2021,90132,Mark Salazar, PRO ,0.7850,san diego state,NULL,Mountain West,NULL
2021,91541,Connor Adair, PRO ,0.7843,memphis,NULL,American Athletic,NULL
2021,82916,Davis Shanley, PRO ,0.7824,western kentucky,NULL,Conference USA,NULL
2021,46042926,Devin Larsen, PRO ,0.7797,iowa state,NULL,Big 12,NULL
2021,91341,Mario Nolan-Dillard, DUAL ,0.7750,memphis,tennessee state,American Athletic,Ohio Valley
2021,85811,Brayden Hawkins, PRO ,0.7681,akron,NULL,Mid-American,NULL
2021,46046410,Nick Moore, PRO ,0.7667,oregon state,arizona,Pacific-12,Pacific-12
2021,80453,Michael McFarlane, PRO ,0.7597,coastal carolina,NULL,Sun Belt,NULL
2021,82107,Chris Ferguson, PRO ,0.6997,liberty,NULL,FBS Independents,NULL
2021,46055040,Vincent Amendola, PRO ,NULL,north carolina,towson,ACC,CAA
2021,46037181,Nick Ast, PRO ,NULL,kansas state,NULL,Big 12,NULL
2021,46051438,Joey Cambron, PRO ,NULL,middle tennessee state,NULL,Conference USA,NULL
2021,77926,Jake Constantine, DUAL ,NULL,weber state,rice,Big Sky,Conference USA
2021,46055481,Jack Dawson, PRO ,NULL,troy,jacksonville state,Sun Belt,Ohio Valley
2021,81884,Westin Elliott, PRO ,NULL,louisiana tech,NULL,Conference USA,NULL
2021,46056824,Brian Garcia, DUAL ,NULL,south alabama,NULL,Sun Belt,NULL
2021,91736,Terrance Gipson, DUAL ,NULL,smu,NULL,American Athletic,NULL
