Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2019,91048,Justin Fields, DUAL ,0.9998,georgia,ohio state,SEC,Big Ten
2019,37059,Jalen Hurts, DUAL ,0.9231,alabama,oklahoma,SEC,Big 12
2019,30208,Tate Martell, DUAL ,0.9739,ohio state,miami,Big Ten,ACC
2019,16489,Kelly Bryant, DUAL ,0.8777,clemson,missouri,ACC,SEC
2019,33057,Austin Kendall, PRO ,0.9239,oklahoma,west virginia,Big 12,Big 12
2019,59633,Shawn Robinson, DUAL ,0.9222,tcu,missouri,Big 12,SEC
2019,34278,Riley Neal, PRO ,0.8503,ball state,vanderbilt,Mid-American,SEC
2019,27549,Brandon Wimbush, DUAL ,0.9792,notre dame,central florida,FBS Independents,American Athletic
2019,51368,Shane Buechele, DUAL ,0.9250,texas,smu,Big 12,American Athletic
2019,78026,Josh Jackson, DUAL ,0.8773,virginia tech,maryland,ACC,Big Ten
2019,31531,Deondre Francois, DUAL ,0.9678,florida state,hampton,ACC,MEAC
2019,41609,Nick Starkel, PRO ,0.8671,texas am,arkansas,SEC,SEC
2019,86414,Cameron Rising, PRO ,0.9096,texas,utah,Big 12,Pacific-12
2019,77589,Tristan Gebbia, PRO ,0.9217,nebraska,oregon state,Big Ten,Pacific-12
2019,33986,Kasim Hill, PRO ,0.9110,maryland,tennessee,Big Ten,SEC
2019,34605,Alex Hornibrook, PRO ,0.8447,wisconsin,florida state,Big Ten,ACC
2019,77447,Cole Kelley, PRO ,0.8485,arkansas,southeastern louisiana,SEC,Southland
2019,32002,Brandon Peters, PRO ,0.9684,michigan,illinois,Big Ten,Big Ten
2019,78284,Colson Yankoff, DUAL ,0.9564,washington,ucla,Pacific-12,Pacific-12
2019,90176,Jack Tuttle, PRO ,0.9321,utah,indiana,Pacific-12,Big Ten
2019,14692,Ty Storey, PRO ,0.9088,arkansas,western kentucky,SEC,Conference USA
2019,28115,Quinten Dormady, PRO ,0.9029,houston,central michigan,American Athletic,Mid-American
2019,35839,Casey Thompson, DUAL ,0.9021,texas,texas,Big 12,Big 12
2019,91994,Jalon Jones, DUAL ,0.9001,florida,jackson state,SEC,SWAC
2019,41508,John Kolar, PRO ,0.8999,oklahoma state,iowa state,Big 12,Big 12
2019,27158,Alex Malzone, PRO ,0.8984,miami ohio,NULL,Mid-American,NULL
2019,46038842,Matthew Baldwin, PRO ,0.8958,ohio state,tcu,Big Ten,Big 12
2019,75943,Braxton Burmeister, DUAL ,0.8941,oregon,virginia tech,Pacific-12,ACC
2019,87592,Marcus Riley, DUAL ,0.8891,louisville,bethune cookman,ACC,MEAC
2019,89076,Malik Willis, DUAL ,0.8857,auburn,liberty,SEC,FBS Independents
2019,46040283,Chance Nolan, PRO ,0.8742,middle tennessee state,NULL,Conference USA,NULL
2019,77216,Matt Fink, DUAL ,0.8739,usc,usc,Pacific-12,Pacific-12
2019,42855,Ross Bowers, PRO ,0.8696,california,northern illinois,Pacific-12,Mid-American
2019,15733,De'Andre Johnson, PRO ,0.8681,florida atlantic,texas southern,Conference USA,SWAC
2019,34054,Alex Delton, DUAL ,0.8609,kansas state,tcu,Big 12,Big 12
2019,35502,Tommy Stevens, DUAL ,0.8599,penn state,mississippi state,Big Ten,SEC
2019,59489,Cade Weldon, PRO ,0.8580,miami,etsu,ACC,Southern
2019,46039529,Jordan Travis, DUAL ,0.8572,louisville,florida state,ACC,ACC
2019,46751,Ben Hicks, PRO ,0.8560,smu,arkansas,American Athletic,SEC
2019,84061,MJ Rivers II, DUAL ,0.8539,illinois,NULL,Big Ten,NULL
2019,46041013,Jamil Muhammad, PRO ,0.8526,vanderbilt,georgia state,SEC,Sun Belt
2019,46042029,Octavious Battle, DUAL ,0.8519,south florida,tennessee state,American Athletic,Ohio Valley
2019,20553,Darius Wade, DUAL ,0.8509,boston college,bowling green,ACC,Mid-American
2019,75331,Gunnar Hoak, PRO ,0.8485,kentucky,ohio state,SEC,Big Ten
2019,84478,Devon Moore, DUAL ,0.8468,iowa state,south dakota,Big 12,Missouri Valley
2019,84677,John Langan, PRO ,0.8451,boston college,rutgers,ACC,Big Ten
2019,78650,Sawyer Smith, PRO ,0.8441,troy,kentucky,Sun Belt,SEC
2019,20953,Nathan Elliott, DUAL ,0.8422,north carolina,arkansas state,ACC,Sun Belt
2019,89859,Wyatt Rector, DUAL ,0.8418,western michigan,florida state,Mid-American,ACC
2019,87506,Jalen Chatman, DUAL ,0.8410,rutgers,portland state,Big Ten,Big Sky
2019,34400,Keondre Wudtee, PRO ,0.8404,oklahoma state,northern arizona,Big 12,Big Sky
2019,78107,McLane Carter, PRO ,0.8395,texas tech,rutgers,Big 12,Big Ten
2019,46041097,Swift Lyle, PRO ,0.8394,georgia state,NULL,Sun Belt,NULL
2019,80874,Kingsley Ifedi, DUAL ,0.8379,east carolina,ncat,American Athletic,MEAC
2019,90749,Luke Shiflett, DUAL ,0.8366,middle tennessee state,furman,Conference USA,Southern
2019,83467,Cam Thomas, DUAL ,0.8356,illinois,NULL,Big Ten,NULL
2019,61358,Chris Oladokun, PRO ,0.8327,south florida,samford,American Athletic,Southern
2019,78324,Jack Walker, PRO ,0.8309,georgia state,NULL,Sun Belt,NULL
2019,76867,Zeb Noland, PRO ,0.8300,iowa state,north dakota state,Big 12,Missouri Valley
2019,90061,Terrell Carter, PRO ,0.8300,san jose state,NULL,Mountain West,NULL
2019,29683,Christian Alexander, PRO ,0.8295,florida international,wagner,Conference USA,Northeast
2019,90962,Will McBride, DUAL ,0.8268,tennessee,lamar,SEC,Southland
2019,46039860,Jeremy Moussa, PRO ,0.8250,hawaii,NULL,Mountain West,NULL
2019,87948,Seth Washington, DUAL ,0.8241,tennessee,NULL,SEC,NULL
2019,90128,Matthew McDonald, PRO ,0.8222,boston college,bowling green,ACC,Mid-American
2019,81069,Jarret Doege, PRO ,0.8221,bowling green,west virginia,Mid-American,Big 12
2019,21603,Jackson Tyner, DUAL ,0.8198,rice,texas tech,Conference USA,Big 12
2019,84289,Stacy Conner, DUAL ,0.8190,byu,NULL,FBS Independents,NULL
2019,38199,Brett Kean, PRO ,0.8185,south florida,charlotte,American Athletic,Conference USA
2019,86193,Brady McBride, PRO ,0.8173,memphis,texas state,American Athletic,Sun Belt
2019,89658,Bryce Veasley, PRO ,0.8154,bowling green,duquesne,Mid-American,Northeast
2019,91089,K'hari Lane, PRO ,0.8132,arizona,NULL,Pacific-12,NULL
2019,22554,Manny Miles, PRO ,0.8099,north carolina,kansas,ACC,Big 12
2019,85858,Marvin Washington, PRO ,0.8077,uconn,NULL,FBS Independents,NULL
2019,36483,Chance Thrasher, DUAL ,0.8053,coastal carolina,etsu,Sun Belt,Southern
2019,93530,Layne Hatcher, DUAL ,0.8043,alabama,arkansas state,SEC,Sun Belt
2019,78809,J.C. Robles, PRO ,0.8034,colorado state,NULL,Mountain West,NULL
2019,19322,Kilton Anderson, PRO ,0.8021,coastal carolina,wm,Sun Belt,CAA
2019,55488,Drayton Arnold, DUAL ,0.8011,old dominion,chattanooga,Conference USA,Southern
