Year,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2021,Bryce Thompson, SG ,0.9923,kansas,null,Big 12,NULL
2021,Khristian Lander, PG ,0.9910,indiana,indiana,Big Ten,Big Ten
2021,Devin Askew, CG ,0.9886,kentucky,texas,SEC,Big 12
2021,Adam Miller, PG ,0.9884,illinois,null,Big Ten,NULL
2021,Nimari Burnett, CG ,0.9882,texas tech,alabama,Big 12,SEC
2021,Boogie Ellis, PG ,0.9868,memphis,usc,American Athletic,Pacific-12
2021,Jalen Coleman-Lands, PG ,0.9859,iowa state,null,Big 12,NULL
2021,Micah Peavy, SG ,0.9835,texas tech,tcu,Big 12,Big 12
2021,De'Vion Harmon, PG ,0.9814,oklahoma,null,Big 12,NULL
2021,Daejon Davis, CG ,0.9809,stanford,null,Pacific-12,NULL
2021,Deivon Smith, PG ,0.9776,mississippi state,georgia tech,SEC,ACC
2021,Jaxson Robinson, SG ,0.9770,texas am,null,SEC,NULL
2021,Charlie Moore, PG ,0.9727,depaul,miami,Big East,ACC
2021,Chris Lykes, PG ,0.9726,miami,arkansas,ACC,SEC
2021,Symir Torrence, CG ,0.9713,marquette,syracuse,Big East,ACC
2021,Noah Locke, SG ,0.9701,florida,louisville,SEC,ACC
2021,Jemarl Baker, SG ,0.9690,arizona,fresno state,Pacific-12,Mountain West
2021,Darryl Morsell, SG ,0.9685,maryland,null,Big Ten,NULL
2021,KyKy Tandy, CG ,0.9652,xavier,null,Big East,NULL
2021,Mark Smith, CG ,0.9629,missouri,kansas state,SEC,Big 12
2021,Josh Nickelberry, SG ,0.9566,louisville,null,ACC,NULL
2021,Jalen Cone, PG ,0.9561,virginia tech,northern arizona,ACC,Big Sky
2021,C.J. Wilcher, SG ,0.9541,xavier,nebraska,Big East,Big Ten
2021,Jordan McCabe, PG ,0.9488,west virginia,unlv,Big 12,Mountain West
2021,Kellan Grady, PG ,0.9481,davidson,kentucky,Atlantic 10,SEC
2021,Au'Diese Toney, SG ,0.9426,pittsburgh,arkansas,ACC,SEC
2021,Jacob Young, PG ,0.9414,rutgers,null,Big Ten,NULL
2021,Damion Baugh, PG ,0.9401,memphis,tcu,American Athletic,Big 12
2021,Tyrell Jones, PG ,0.9384,auburn,south alabama,SEC,Sun Belt
2021,Jaelen House, PG ,0.9374,arizona state,new mexico,Pacific-12,Mountain West
2021,Tyler Harris, PG ,0.9364,iowa state,null,Big 12,NULL
