Year,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2019,Justin Fields, DUAL ,0.9998,georgia,ohio state,SEC,Big Ten
2019,Jalen Hurts, DUAL ,0.9231,alabama,oklahoma,SEC,Big 12
2019,Tate Martell, DUAL ,0.9739,ohio state,miami,Big Ten,ACC
2019,Kelly Bryant, DUAL ,0.8777,clemson,missouri,ACC,SEC
2019,Austin Kendall, PRO ,0.9239,oklahoma,west virginia,Big 12,Big 12
2019,Shawn Robinson, DUAL ,0.9222,tcu,missouri,Big 12,SEC
2019,Riley Neal, PRO ,0.8503,ball state,vanderbilt,Mid-American,SEC
2019,Brandon Wimbush, DUAL ,0.9792,notre dame,central florida,FBS Independents,American Athletic
2019,Shane Buechele, DUAL ,0.9250,texas,smu,Big 12,American Athletic
2019,Josh Jackson, DUAL ,0.8773,virginia tech,maryland,ACC,Big Ten
2019,Deondre Francois, DUAL ,0.9678,florida state,hampton,ACC,MEAC
2019,Nick Starkel, PRO ,0.8671,texas am,arkansas,SEC,SEC
2019,Cameron Rising, PRO ,0.9096,texas,utah,Big 12,Pacific-12
2019,Tristan Gebbia, PRO ,0.9217,nebraska,oregon state,Big Ten,Pacific-12
2019,Kasim Hill, PRO ,0.9110,maryland,tennessee,Big Ten,SEC
2019,Alex Hornibrook, PRO ,0.8447,wisconsin,florida state,Big Ten,ACC
2019,Cole Kelley, PRO ,0.8485,arkansas,southeastern louisiana,SEC,Southland
2019,Brandon Peters, PRO ,0.9684,michigan,illinois,Big Ten,Big Ten
2019,Colson Yankoff, DUAL ,0.9564,washington,ucla,Pacific-12,Pacific-12
2019,Jack Tuttle, PRO ,0.9321,utah,indiana,Pacific-12,Big Ten
2019,Ty Storey, PRO ,0.9088,arkansas,western kentucky,SEC,Conference USA
2019,Quinten Dormady, PRO ,0.9029,houston,central michigan,American Athletic,Mid-American
2019,Casey Thompson, DUAL ,0.9021,texas,texas,Big 12,Big 12
2019,Jalon Jones, DUAL ,0.9001,florida,jackson state,SEC,SWAC
2019,John Kolar, PRO ,0.8999,oklahoma state,iowa state,Big 12,Big 12
2019,Alex Malzone, PRO ,0.8984,miami ohio,null,Mid-American,NULL
2019,Matthew Baldwin, PRO ,0.8958,ohio state,tcu,Big Ten,Big 12
2019,Braxton Burmeister, DUAL ,0.8941,oregon,virginia tech,Pacific-12,ACC
2019,Marcus Riley, DUAL ,0.8891,louisville,bethune cookman,ACC,MEAC
2019,Malik Willis, DUAL ,0.8857,auburn,liberty,SEC,FBS Independents
2019,Chance Nolan, PRO ,0.8742,middle tennessee state,null,Conference USA,NULL
2019,Matt Fink, DUAL ,0.8739,usc,usc,Pacific-12,Pacific-12
2019,Ross Bowers, PRO ,0.8696,california,northern illinois,Pacific-12,Mid-American
2019,De'Andre Johnson, PRO ,0.8681,florida atlantic,texas southern,Conference USA,SWAC
2019,Alex Delton, DUAL ,0.8609,kansas state,tcu,Big 12,Big 12
2019,Tommy Stevens, DUAL ,0.8599,penn state,mississippi state,Big Ten,SEC
2019,Cade Weldon, PRO ,0.8580,miami,etsu,ACC,Southern
2019,Jordan Travis, DUAL ,0.8572,louisville,florida state,ACC,ACC
2019,Ben Hicks, PRO ,0.8560,smu,arkansas,American Athletic,SEC
2019,MJ Rivers II, DUAL ,0.8539,illinois,null,Big Ten,NULL
2019,Jamil Muhammad, PRO ,0.8526,vanderbilt,georgia state,SEC,Sun Belt
2019,Octavious Battle, DUAL ,0.8519,south florida,tennessee state,American Athletic,Ohio Valley
2019,Darius Wade, DUAL ,0.8509,boston college,bowling green,ACC,Mid-American
2019,Gunnar Hoak, PRO ,0.8485,kentucky,ohio state,SEC,Big Ten
2019,Devon Moore, DUAL ,0.8468,iowa state,south dakota,Big 12,Missouri Valley
2019,John Langan, PRO ,0.8451,boston college,rutgers,ACC,Big Ten
2019,Sawyer Smith, PRO ,0.8441,troy,kentucky,Sun Belt,SEC
2019,Nathan Elliott, DUAL ,0.8422,north carolina,arkansas state,ACC,Sun Belt
2019,Wyatt Rector, DUAL ,0.8418,western michigan,florida state,Mid-American,ACC
2019,Jalen Chatman, DUAL ,0.8410,rutgers,portland state,Big Ten,Big Sky
2019,Keondre Wudtee, PRO ,0.8404,oklahoma state,northern arizona,Big 12,Big Sky
