Year,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2021,Tanner Mordecai, DUAL ,0.9092,oklahoma,smu,Big 12,American Athletic
2021,McKenzie Milton, DUAL ,0.8362,central florida,florida state,American Athletic,ACC
2021,Ethan Garbers, PRO ,0.9475,washington,ucla,Pacific-12,Pacific-12
2021,Jack Coan, PRO ,0.8714,wisconsin,notre dame,Big Ten,FBS Independents
2021,Ryan Hilinski, PRO ,0.9695,south carolina,northwestern,SEC,Big Ten
2021,Grant Gunnell, PRO ,0.8851,arizona,memphis,Pacific-12,American Athletic
2021,Tyler Shough, PRO ,0.9422,oregon,texas tech,Pacific-12,Big 12
2021,Alan Bowman, PRO ,0.8568,texas tech,michigan,Big 12,Big Ten
2021,Hendon Hooker, PRO ,0.8903,virginia tech,tennessee,ACC,SEC
2021,Bailey Zappe, PRO ,NULL,houston baptist,western kentucky,Southland,Conference USA
2021,N'Kosi Perry, DUAL ,0.9218,miami,null,ACC,NULL
2021,Joe Milton, PRO ,0.9202,michigan,null,Big Ten,NULL
2021,Bailey Hockman, PRO ,0.8725,north carolina state,middle tennessee state,ACC,Conference USA
2021,Anthony Russo, PRO ,0.8584,temple,michigan state,American Athletic,Big Ten
2021,Charlie Brewer, PRO ,0.8506,baylor,utah,Big 12,Pacific-12
2021,Ja'Quinden Jackson, DUAL ,0.9664,texas,utah,Big 12,Pacific-12
2021,Jarrett Guarantano, DUAL ,0.9628,tennessee,washington state,SEC,Pacific-12
2021,Lance LeGendre, DUAL ,0.9036,maryland,louisiana,Big Ten,Sun Belt
2021,D'Wan Mathis, PRO ,0.8992,georgia,temple,SEC,American Athletic
2021,Jace Ruder, DUAL ,0.8957,north carolina,north texas,ACC,Conference USA
2021,Ty Evans, PRO ,0.8830,north carolina state,texas state,ACC,Sun Belt
2021,Darriel Mack, DUAL ,0.8477,central florida,old dominion,American Athletic,Conference USA
2021,Jack Abraham, PRO ,0.8237,southern mississippi,mississippi state,Conference USA,SEC
2021,Jason Brown, PRO ,0.7832,saint francis,south carolina,Northeast,SEC
2021,Jacob Sirmon, PRO ,0.9559,washington,central michigan,Pacific-12,Mid-American
2021,Patrick O'Brien, PRO ,0.9189,colorado state,washington,Mountain West,Pacific-12
2021,Garrett Shrader, DUAL ,0.9106,mississippi state,syracuse,SEC,ACC
2021,Luke McCaffrey, DUAL ,0.9070,nebraska,louisville,Big Ten,ACC
2021,Jake Bentley, PRO ,0.9068,utah,south alabama,Pacific-12,Sun Belt
2021,James Foster, DUAL ,0.9055,texas am,charlotte,SEC,Conference USA
2021,Peter Parrish, DUAL ,0.8988,lsu,memphis,SEC,American Athletic
2021,James Graham, DUAL ,0.8958,georgia tech,georgia southern,ACC,Sun Belt
2021,Micah Bowens, DUAL ,0.8851,penn state,oklahoma,Big Ten,Big 12
2021,Chandler Morris, DUAL ,0.8827,oklahoma,tcu,Big 12,Big 12
2021,Chase Brice, PRO ,0.8818,duke,appalachian state,ACC,Sun Belt
2021,J.T. Shrout, PRO ,0.8696,tennessee,colorado,SEC,Pacific-12
2021,Will Levis, PRO ,0.8689,penn state,kentucky,Big Ten,SEC
2021,Tee Webb, PRO ,0.8647,louisville,southern mississippi,ACC,Conference USA
2021,Rocky Lombardi, DUAL ,0.8641,michigan state,northern illinois,Big Ten,Mid-American
2021,Gunner Cruz, PRO ,0.8607,arizona,arizona,Pacific-12,Pacific-12
2021,Tyler Lytle, PRO ,0.8597,colorado,massachusetts,Pacific-12,FBS Independents
2021,Tucker Gleason, PRO ,0.8521,georgia tech,toledo,ACC,Mid-American
2021,Taylor Powell, PRO ,0.8519,missouri,troy,SEC,Sun Belt
2021,Jordan McCloud, DUAL ,0.8249,south florida,arizona,American Athletic,Pacific-12
2021,Logan Bonner, PRO ,0.7893,arkansas state,utah state,Sun Belt,Mountain West
2021,Tate Martell, DUAL ,0.9739,miami,null,ACC,NULL
2021,Dylan McCaffrey, PRO ,0.9435,michigan,northern colorado,Big Ten,Big Sky
2021,Chris Robison, PRO ,0.9272,florida atlantic,null,Conference USA,NULL
2021,Austin Kendall, PRO ,0.9239,west virginia,null,Big 12,NULL
2021,Jawon Pass, DUAL ,0.9209,louisville,towson,ACC,CAA
