Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2019,75118,Unique McLean, SG ,0.8637,massachusetts,NULL,Atlantic 10,NULL
2019,77559,Philip Flory, SG ,0.8636,albany,NULL,America East,NULL
2019,90826,Curtis Haywood II, SG ,0.8632,georgia tech,tulsa,ACC,American Athletic
2019,94318,Shandon Brown, PG ,0.8628,george washington,niagra,Atlantic 10,MAAC
2019,79486,Tyler Plummer, SG ,0.8615,wagner,NULL,Northeast,NULL
2019,94643,Jared Bynum, PG ,0.8614,saint josephs,providence,Atlantic 10,Big East
2019,46038424,Parrish Hewitt, SG ,0.8600,tennessee martin,NULL,Ohio Valley,NULL
2019,37930,Luwane Pipkins, PG ,0.8576,massachusetts,providence,Atlantic 10,Big East
2019,93752,Evan Gilyard, PG ,0.8573,utep,new mexico state,Conference USA,WAC
2019,94280,Tre Wood, PG ,0.8573,massachusetts,NULL,Atlantic 10,NULL
2019,30167,James Bolden, PG ,0.8566,west virginia,alabama,Big 12,SEC
2019,45573372,Terry Nolan, PG ,0.8563,george washington,bradley,Atlantic 10,Missouri Valley
2019,46041508,Isaiah Bujdoso, PG ,0.8556,loyola,NULL,Missouri Valley,NULL
2019,46048616,Charles Jones, PG ,0.8556,utah,portland state,Pacific-12,Big Sky
2019,46049982,Danya Kingsby, SG ,0.8556,lsu,bradley,SEC,Missouri Valley
2019,60440,Bryan Trimble, SG ,0.8550,saint johns,NULL,Big East,NULL
2019,75348,Damari Milstead, PG ,0.8547,NULL,NULL,NULL,NULL
2019,79506,Marcus Shaver, PG ,0.8546,portland,boise state,West Coast,Mountain West
2019,91432,Anthony Mack, SG ,0.8530,miami,NULL,ACC,NULL
2019,85111,John Diener, SG ,0.8528,depaul,NULL,Big East,NULL
2019,93683,KJ Davis, SG ,0.8500,east carolina,samford,American Athletic,Southern
2019,46035759,Teshaun Hightower, PG ,0.8496,georgia,tulane,SEC,American Athletic
2019,57924,Lamarr Kimble, PG ,0.8494,saint josephs,louisville,Atlantic 10,ACC
2019,29584,Jake Toolson, PG ,0.8447,utah valley,byu,WAC,West Coast
2019,35727,Malek Harwell, SG ,0.8438,boise state,cal poly,Mountain West,Big West
2019,25762,Drew Edwards, SG ,0.8410,providence,charlotte,Big East,Conference USA
2019,46043203,DeShaun Wade, PG ,0.8400,east carolina,longwood,American Athletic,Big South
2019,19275,Anthony Mathis, SG ,0.8385,new mexico,oregon,Mountain West,Pacific-12
2019,38705,Dashawn McDowell, PG ,0.8385,seattle,NULL,WAC,NULL
2019,35309,Ronnie Suggs, PG ,0.8379,missouri,NULL,SEC,NULL
2019,94512,Naseem Gaskin, SG ,0.8375,utah,NULL,Pacific-12,NULL
2019,85838,Shawn Williams, SG ,0.8368,east carolina,new mexico state,American Athletic,WAC
2019,28605,Max Hazzard, PG ,0.8360,uc irvine,arizona,Big West,Pacific-12
2019,34669,Chad Lott, PG ,0.8360,howard,south alabama,MEAC,Sun Belt
2019,87235,Kieran Hayward, SG ,0.8359,massachusetts,NULL,Atlantic 10,NULL
2019,78138,Lindsey Drew, PG ,0.8354,nevada,NULL,Mountain West,NULL
2019,86753,Maishe Dailey, PG ,0.8354,iowa,akron,Big Ten,Mid-American
2019,71383,Tommy McCarthy, PG ,0.8344,harvard,rice,Ivy,Conference USA
2019,38696,Jermaine Jackson Jr., PG ,0.8333,detroit,NULL,Horizon,NULL
2019,93630,Kevion Nolan, PG ,0.8333,samford,jacksonville,Southern,Atlantic Sun
2019,85030,Jalen Adaway, SG ,0.8333,miami ohio,saint bonaventure,Mid-American,Atlantic 10
2019,46044060,Jalen Harris, PG ,0.8333,nevada,NULL,Mountain West,NULL
2019,46043647,Donald Gipson, PG ,0.8333,NULL,NULL,NULL,NULL
2019,92762,RJ Cole, CG ,0.8333,howard,uconn,MEAC,Big East
2019,46035768,Jordan Campbell, PG ,0.8206,oregon state,fresno state,Pacific-12,Mountain West
2019,46044718,Donovann Toatley, PG ,0.8000,chattanooga,monmouth,Southern,MAAC
2019,68274,Christion Thompson, SG ,0.7667,rhode island,tulane,Atlantic 10,American Athletic
2019,46044076,Brailen Neely, PG ,0.7667,oakland,NULL,Horizon,NULL
2019,30953,Bryce Moore, PG ,0.7333,western michigan,xavier,Mid-American,Big East
2019,24547,Jordan Andrews, SG ,0.7000,south alabama,texas southern,Sun Belt,SWAC
2019,77534,Anthony Bonner, SG ,0.7000,colorado state,missouri state,Mountain West,Missouri Valley
2019,33913,Matt Hein, PG ,0.7000,illinois state,siena,Missouri Valley,MAAC
2019,55659,Quinton Adlesh, PG ,NULL,columbia,usc,Ivy,Pacific-12
2019,46055789,Ahmed Ali, PG ,NULL,washington state,hawaii,Pacific-12,Big West
2019,70719,Cameron Allen, PG ,NULL,cal state bakersfield,NULL,WAC,NULL
2019,86627,Darius Allen, SG ,NULL,baylor,tennessee tech,Big 12,Ohio Valley
2019,46083350,Jordan Allen, SG ,NULL,rider,NULL,MAAC,NULL
2019,46086155,Tyree Appleby, PG ,NULL,cleveland state,florida,Horizon,SEC
2019,46040826,Shakwon Barrett, PG ,NULL,tulane,NULL,American Athletic,NULL
2019,77500,Joseph Battle, PG ,NULL,appalachian state,NULL,Sun Belt,NULL
2019,46045359,Nolan Bertain, SG ,NULL,alabama birmingham,tamucc,Conference USA,Southland
2019,46045523,Tamir Bynum, PG ,NULL,utsa,pvamu,Conference USA,SWAC
2019,68271,Brad Calipari, PG ,NULL,kentucky,detroit,SEC,Horizon
2019,93799,Desmond Cambridge, SG ,NULL,brown,nevada,Ivy,Mountain West
2019,46035647,Daxton Carr, SG ,NULL,cal poly,NULL,Big West,NULL
2019,46046743,Michael Carter III, SG ,NULL,south dakota state,long beach state,Summit,Big West
2019,46042075,Matt Chism, PG ,NULL,georgia state,NULL,Sun Belt,NULL
2019,46083658,Troymain Crosby, SG ,NULL,alcorn state,NULL,SWAC,NULL
2019,84656,Carlos Curtis, PG ,NULL,etsu,NULL,Southern,NULL
2019,46046789,Shakur Daniel, SG ,NULL,southern mississippi,NULL,Conference USA,NULL
2019,93713,Caleb Daniels, SG ,NULL,tulane,villanova,American Athletic,Big East
2019,46035888,Karrington Davis, SG ,NULL,nebraska,southern illinois,Big Ten,Missouri Valley
2019,46083553,Edric Dennis, PG ,NULL,texas arlington,tcu,Sun Belt,Big 12
2019,46043691,Mikey Dixon, PG ,NULL,saint johns,NULL,Big East,NULL
2019,46083325,Adam Flagler, SG ,NULL,presbyterian,baylor,Big South,Big 12
2019,77062,Tyler Foster, SG ,NULL,east carolina,youngstown state,American Athletic,Horizon
2019,46083570,Reginald Gee, SG ,NULL,alabama state,NULL,SWAC,NULL
2019,46082801,Markus Golder, SG ,NULL,valparaiso,NULL,Missouri Valley,NULL
2019,46083163,Mark Gordon, SG ,NULL,bethune cookman,NULL,MEAC,NULL
2019,46082964,Donnell Gresham Jr., SG ,NULL,northeastern,georgia,CAA,SEC
2019,46054712,Tae Hardy, CG ,NULL,east carolina,NULL,American Athletic,NULL
2019,38823,Matt Hauser, SG ,NULL,NULL,NULL,NULL,NULL
2019,46044426,Charles Henderson, SG ,NULL,tennessee martin,NULL,Ohio Valley,NULL
2019,46036177,Emanuel Hylton, SG ,NULL,san diego,NULL,West Coast,NULL
2019,46036032,Delveion Jackson, PG ,NULL,uc davis,NULL,Big West,NULL
2019,85495,Lorenzo Jenkins, PG ,NULL,colorado state,NULL,Mountain West,NULL
2019,64800,David Jenkins, PG ,NULL,south dakota state,unlv,Summit,Mountain West
2019,46083115,Jerry Johnson, SG ,NULL,chattanooga,arkansas state,Southern,Sun Belt
2019,46082851,Brandonn Kamga, SG ,NULL,high point,cal state fullerton,Big South,Big West
2019,24858,Christian Keeling, SG ,NULL,charleston southern,north carolina,Big South,ACC
2019,46100536,Teyvion Kirk, SG ,NULL,ohio,colorado state,Mid-American,Mountain West
2019,46049771,Landon Kirkwood, CG ,NULL,cal state fullerton,NULL,Big West,NULL
2019,46076700,Goodnews Kpegeol, SG ,NULL,kansas state,NULL,Big 12,NULL
2019,46055634,Kevin Kremer, SG ,NULL,utah,NULL,Pacific-12,NULL
2019,46040213,Ty Lazenby, SG ,NULL,oklahoma,oral roberts,Big 12,Southland
2019,46057284,Garrett Luinstra, CG ,NULL,kansas,NULL,Big 12,NULL
2019,46052609,Brandon Mahan, SG ,NULL,texas am,central florida,SEC,American Athletic
2019,38641,Kamar McKnight, SG ,NULL,tennessee state,coppin state,Ohio Valley,MEAC
2019,46041340,Kennedy Milton, PG ,NULL,oral roberts,NULL,Southland,NULL
2019,46054925,Takal Molson, SG ,NULL,canisius,seton hall,MAAC,Big East
2019,46041128,Deaundre Murphy, PG ,NULL,marshall,NULL,Conference USA,NULL
2019,46036021,Gio Nelson, PG ,NULL,uc davis,NULL,Big West,NULL
2019,46083482,Braden Norris, PG ,NULL,oakland,loyola,Horizon,Missouri Valley
2019,46098802,JD Notae, SG ,NULL,jacksonville,arkansas,Atlantic Sun,SEC
2019,46083732,Bubba Parham, PG ,NULL,vmi,georgia tech,Southern,ACC
2019,46043752,Preston Parks, CG ,NULL,tennessee martin,samford,Ohio Valley,Southern
2019,82245,Darraja Parnell, PG ,NULL,central arkansas,NULL,Southland,NULL
2019,46082930,Justin Pierce, SG ,NULL,wm,north carolina,CAA,ACC
2019,46082850,Jahaad Proctor, SG ,NULL,high point,purdue,Big South,Big Ten
2019,46041930,Alex Rivera, PG ,NULL,NULL,NULL,NULL,NULL
2019,85050,Bryce Schneider, PG ,NULL,richmond,NULL,Atlantic 10,NULL
2019,46036196,Keondre Schumacher, PG ,NULL,winthrop,NULL,Big South,NULL
2019,67905,Curran Scott, PG ,NULL,tulsa,clemson,American Athletic,ACC
2019,85305,Jalen Seegars, SG ,NULL,unca,NULL,Big South,NULL
2019,46049766,Jamal Smith, CG ,NULL,cal state fullerton,NULL,Big West,NULL
2019,82428,Andrew Sorrells, SG ,NULL,texas tech,NULL,Big 12,NULL
2019,46083391,Kareem South, SG ,NULL,tamucc,california,Southland,Pacific-12
2019,60484,Dainan Swoope, CG ,NULL,elon,sam houston state,CAA,Southland
