Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,75260,Isiah Brown, PG ,0.8628,weber state,NULL,Big Sky,NULL
2020,46038726,Isaac White, PG ,0.8628,stanford,NULL,Pacific-12,NULL
2020,42993,Howard Washington, PG ,0.8616,syracuse,NULL,ACC,NULL
2020,79485,Ishmael El-Amin, PG ,0.8616,ball state,NULL,Mid-American,NULL
2020,46081440,Keishawn Brewton, CG ,0.8600,coastal carolina,buffalo,Sun Belt,Mid-American
2020,46056585,Jarred Hyder, CG ,0.8600,fresno state,california,Mountain West,Pacific-12
2020,91749,Daylen Kountz, CG ,0.8573,colorado,northern colorado,Pacific-12,Big Sky
2020,46035831,Trey Wertz, SG ,0.8559,notre dame,NULL,ACC,NULL
2020,46052801,Jamarius Burton, CG ,0.8556,wichita state,texas tech,American Athletic,Big 12
2020,94464,Trevor Moore, SG ,0.8556,cincinnati,morgan state,American Athletic,MEAC
2020,77136,Marquis Godwin, SG ,0.8522,old dominion,hampton,Conference USA,MEAC
2020,94583,Jaizec Lottie, PG ,0.8510,arkansas little rock,NULL,Sun Belt,NULL
2020,46036026,Zach Chappell, PG ,0.8500,san jose state,sacramento state,Mountain West,Big Sky
2020,46036724,Jake Wojcik, SG ,0.8500,richmond,fairfield,Atlantic 10,MAAC
2020,36656,Luis Hurtado, PG ,0.8496,alabama birmingham,bryant,Conference USA,Northeast
2020,77081,Ray Salnave, CG ,0.8435,monmouth,depaul,MAAC,Big East
2020,81349,Keon Clergeot, PG ,0.8435,massachusetts,southeastern louisiana,Atlantic 10,Southland
2020,78022,Elijah Thomas, SG ,0.8432,st marys,NULL,West Coast,NULL
2020,93893,Jalen Crutchfield, SG ,0.8400,stetson,NULL,Atlantic Sun,NULL
2020,70718,Jair Bolden, CG ,0.8385,south carolina,butler,SEC,Big East
2020,84475,Devin Gage, PG ,0.8385,depaul,fresno state,Big East,Mountain West
2020,81094,Jalen Harris, PG ,0.8360,arkansas,georgetown,SEC,Big East
2020,25294,Ryan Murphy, SG ,0.8356,pittsburgh,NULL,ACC,NULL
2020,38701,Ikenna Ndugba, PG ,0.8333,bryant,elon,Northeast,CAA
2020,46043673,Drew Buggs, PG ,0.8333,hawaii,missouri,Big West,SEC
2020,46043553,Terrell Gomez, PG ,0.8333,cal state northridge,san diego state,Big West,Mountain West
2020,46046821,Nigel Hawkins, SG ,0.8300,utep,sfasu,Conference USA,Southland
2020,79526,David Sloan, PG ,0.8278,kansas state,etsu,Big 12,Southern
2020,46052867,Logan Curtis, SG ,0.8278,east carolina,delaware,American Athletic,CAA
2020,46079367,Asanti Price, SG ,0.8278,georgia tech,NULL,ACC,NULL
2020,85209,Davion Mintz, PG ,0.8218,creighton,kentucky,Big East,SEC
2020,59812,Dimencio Vaughn, SG ,0.8212,rider,ole miss,MAAC,SEC
2020,89485,Tahj Eaddy, SG ,0.8162,usc,NULL,Pacific-12,NULL
2020,46043240,Quinn Richey, SG ,0.8005,james madison,NULL,CAA,NULL
2020,86558,Justin Thomas, PG ,0.7667,morehead state,NULL,Ohio Valley,NULL
2020,46044173,Kobe Webster, PG ,0.7667,western illinois,nebraska,Summit,Big Ten
2020,86626,Quan Jackson, PG ,0.7000,georgia southern,alabama birmingham,Sun Belt,Conference USA
2020,46050871,Tavian Percy, SG ,0.7000,new mexico,weber state,Mountain West,Big Sky
2020,46100320,Darian Adams, SG ,NULL,troy,jacksonville state,Sun Belt,Ohio Valley
2020,46100224,Christian Agnew, PG ,NULL,utep,NULL,Conference USA,NULL
2020,46055789,Ahmed Ali, PG ,NULL,hawaii,portland,Big West,West Coast
2020,46059323,Quin Barnard, PG ,NULL,washington,NULL,Pacific-12,NULL
2020,46046660,Allen Betrand, SG ,NULL,towson,rhode island,CAA,Atlantic 10
2020,46051757,Jordan Brinson, CG ,NULL,alabama birmingham,utah valley,Conference USA,WAC
2020,93863,Terrell Brown Jr., SG ,NULL,seattle,arizona,WAC,Pacific-12
2020,86623,Zack Bryant, PG ,NULL,alabama birmingham,georgia southern,Conference USA,Sun Belt
2020,46101545,Dachon Burke, SG ,NULL,nebraska,south alabama,Big Ten,Sun Belt
2020,46100549,Mark Carbone, SG ,NULL,new hampshire,NULL,America East,NULL
2020,46076810,Jalen Cincore, SG ,NULL,georgia southern,NULL,Sun Belt,NULL
2020,46036065,Brian Coffey, PG ,NULL,north florida,middle tennessee state,Atlantic Sun,Conference USA
2020,94467,Derrick Cook, SG ,NULL,jacksonville state,NULL,Ohio Valley,NULL
2020,46049511,Jason Crandall, CG ,NULL,washington,NULL,Pacific-12,NULL
2020,46035888,Karrington Davis, SG ,NULL,southern illinois,NULL,Missouri Valley,NULL
