Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2021,46040037,Bryce Thompson, SG ,0.9923,kansas,NULL,Big 12,NULL
2021,46054936,Khristian Lander, PG ,0.9910,indiana,indiana,Big Ten,Big Ten
2021,46056717,Devin Askew, CG ,0.9886,kentucky,texas,SEC,Big 12
2021,46036282,Adam Miller, PG ,0.9884,illinois,NULL,Big Ten,NULL
2021,46051244,Nimari Burnett, CG ,0.9882,texas tech,alabama,Big 12,SEC
2021,46047755,Boogie Ellis, PG ,0.9868,memphis,usc,American Athletic,Pacific-12
2021,14137,Jalen Coleman-Lands, PG ,0.9859,iowa state,NULL,Big 12,NULL
2021,46036341,Micah Peavy, SG ,0.9835,texas tech,tcu,Big 12,Big 12
2021,86619,De'Vion Harmon, PG ,0.9814,oklahoma,oregon,Big 12,Pacific-12
2021,79489,Daejon Davis, CG ,0.9809,stanford,NULL,Pacific-12,NULL
2021,46041052,Casey Morsell, SG ,0.9789,virginia,north carolina state,ACC,ACC
2021,46058341,Deivon Smith, PG ,0.9776,mississippi state,georgia tech,SEC,ACC
2021,46083513,Jaxson Robinson, SG ,0.9770,texas am,NULL,SEC,NULL
2021,75344,Charlie Moore, PG ,0.9727,depaul,miami,Big East,ACC
2021,76011,Chris Lykes, PG ,0.9726,miami,arkansas,ACC,SEC
2021,46048261,Symir Torrence, CG ,0.9713,marquette,syracuse,Big East,ACC
2021,46047705,Jalen Terry, PG ,0.9708,oregon,depaul,Pacific-12,Big East
2021,86979,Noah Locke, SG ,0.9701,florida,louisville,SEC,ACC
2021,85031,Jemarl Baker, SG ,0.9690,arizona,fresno state,Pacific-12,Mountain West
2021,94656,Darryl Morsell, SG ,0.9685,maryland,NULL,Big Ten,NULL
2021,46035830,KyKy Tandy, CG ,0.9652,xavier,NULL,Big East,NULL
2021,46038443,Mark Smith, CG ,0.9629,missouri,kansas state,SEC,Big 12
2021,45572467,Josh Nickelberry, SG ,0.9566,louisville,NULL,ACC,NULL
2021,46047824,Jalen Cone, PG ,0.9561,virginia tech,northern arizona,ACC,Big Sky
2021,46049017,C.J. Wilcher, SG ,0.9541,xavier,nebraska,Big East,Big Ten
2021,82893,Jordan McCabe, PG ,0.9488,west virginia,unlv,Big 12,Mountain West
2021,85324,Kellan Grady, PG ,0.9481,davidson,kentucky,Atlantic 10,SEC
2021,46049653,Au'Diese Toney, SG ,0.9426,pittsburgh,arkansas,ACC,SEC
2021,82012,Jacob Young, PG ,0.9414,rutgers,NULL,Big Ten,NULL
2021,46041323,Damion Baugh, PG ,0.9401,memphis,tcu,American Athletic,Big 12
2021,46048445,Tyrell Jones, PG ,0.9384,auburn,south alabama,SEC,Sun Belt
2021,46044696,Jaelen House, PG ,0.9374,arizona state,new mexico,Pacific-12,Mountain West
2021,85199,Tyler Harris, PG ,0.9364,iowa state,memphis,Big 12,American Athletic
2021,94653,Jamal Mashburn Jr., CG ,0.9331,minnesota,new mexico,Big Ten,Mountain West
2021,46047684,Cashius McNeilly, SG ,0.9323,texas am,NULL,SEC,NULL
2021,46046489,Tre Williams, SG ,0.9314,minnesota,NULL,Big Ten,NULL
2021,46057775,Issac McBride, CG ,0.9293,vanderbilt,oral roberts,SEC,Southland
2021,45572966,Ismael Massoud, SG ,0.9264,wake forest,kansas state,ACC,Big 12
2021,46048921,Armaan Franklin, SG ,0.9257,indiana,virginia,Big Ten,ACC
2021,46093992,Tyon Grant-Foster, SG ,0.9250,kansas,depaul,Big 12,Big East
2021,46035652,Kyler Edwards, SG ,0.9219,texas tech,houston,Big 12,American Athletic
2021,46055176,DaJuan Gordon, SG ,0.9208,kansas state,missouri,Big 12,SEC
2021,46048542,Jalen Cook, PG ,0.9202,lsu,tulane,SEC,American Athletic
2021,94669,Juhwan Harris-Dyson, SG ,0.9139,california,NULL,Pacific-12,NULL
2021,86079,Marcus Carr, PG ,0.9123,minnesota,NULL,Big Ten,NULL
2021,46057545,Caleb Grill, SG ,0.9111,unlv,iowa state,Mountain West,Big 12
2021,90320,Myreon Jones, CG ,0.9101,penn state,florida,Big Ten,SEC
2021,46048027,Justin Powell, PG ,0.9098,auburn,tennessee,SEC,SEC
2021,84256,Jay Jay Chandler, PG ,0.9062,texas am,south alabama,SEC,Sun Belt
2021,46101777,David Mutaf, SG ,0.9000,minnesota,NULL,Big Ten,NULL
2021,83483,Payton Willis, CG ,0.8999,cofc,minnesota,NULL,Big Ten
2021,92036,William Douglas, SG ,0.8999,smu,NULL,American Athletic,NULL
2021,93736,Gabe Kalscheur, SG ,0.8968,minnesota,iowa state,Big Ten,Big 12
2021,46056579,Caleb Mills, PG ,0.8944,houston,florida state,American Athletic,ACC
2021,46056994,Jordan Rawls, PG ,0.8943,western kentucky,georgia state,Conference USA,Sun Belt
2021,93000,Rasir Bolton, PG ,0.8921,iowa state,NULL,Big 12,NULL
2021,46094014,Rudi Williams, PG ,0.8900,kansas state,coastal carolina,Big 12,Sun Belt
2021,46037775,Tye Fagan, PG ,0.8890,georgia,ole miss,SEC,SEC
2021,94403,Diante Wood, SG ,0.8879,jacksonville,tennessee tech,Atlantic Sun,Ohio Valley
2021,88776,Markquis Nowell, PG ,0.8868,arkansas little rock,kansas state,Sun Belt,Big 12
2021,91812,Erik Stevenson, SG ,0.8856,washington,south carolina,Pacific-12,SEC
2021,45573253,Xavier Johnson, CG ,0.8849,pittsburgh,indiana,ACC,Big Ten
2021,46081327,Taryn Todd, SG ,0.8832,tcu,NULL,Big 12,NULL
2021,46042444,Mac McClung, PG ,0.8820,texas tech,texas tech,Big 12,Big 12
2021,84780,Fatts Russell, PG ,0.8819,rhode island,maryland,Atlantic 10,Big Ten
2021,46050466,Dimingus Stevens, SG ,0.8817,seton hall,NULL,Big East,NULL
2021,46051578,Xavier Pinson, PG ,0.8814,missouri,lsu,SEC,SEC
2021,46086468,Trey Phipps, SG ,0.8804,oklahoma,oral roberts,Big 12,Southland
2021,45573130,Desi Sills, SG ,0.8802,arkansas,auburn,SEC,SEC
2021,78876,Tyson Jolly, PG ,0.8800,smu,NULL,American Athletic,NULL
2021,46036494,Jay Heath, SG ,0.8792,boston college,arizona state,ACC,Pacific-12
2021,93759,Xavier Castaneda, PG ,0.8791,south florida,NULL,American Athletic,NULL
2021,93956,Darius McNeill, PG ,0.8786,smu,utsa,American Athletic,Conference USA
2021,46049011,Jahcobi Neath, PG ,0.8786,wake forest,wisconsin,ACC,Big Ten
2021,93918,David Collins, SG ,0.8778,south florida,clemson,American Athletic,ACC
2021,46035985,Noah Farrakhan, PG ,0.8777,east carolina,NULL,American Athletic,NULL
2021,46096517,Latrell Jossell, PG ,0.8764,kansas,NULL,Big 12,NULL
2021,94269,Wynston Tabbs, SG ,0.8748,boston college,east carolina,ACC,American Athletic
2021,46038811,Charles Smith IV, SG ,0.8743,smu,old dominion,American Athletic,Conference USA
2021,85883,Al Durham, PG ,0.8733,indiana,providence,Big Ten,Big East
2021,94249,Marcus Tsohonis, SG ,0.8731,washington,virginia commonwealth,Pacific-12,Atlantic 10
2021,46094661,Mikal Starks, PG ,0.8728,georgia,NULL,SEC,NULL
2021,46035928,Brenden Tucker, SG ,0.8723,cofc,cofc,NULL,NULL
2021,91747,Maxwell Evans, SG ,0.8703,vanderbilt,tcu,SEC,Big 12
2021,82653,Israel Barnes, SG ,0.8702,weber state,NULL,Big Sky,NULL
2021,46083869,LaDamien Bradford, SG ,0.8681,texas am,NULL,SEC,NULL
2021,46058997,Alondes Williams, CG ,0.8678,oklahoma,NULL,Big 12,NULL
2021,46100049,Tariq Silver, SG ,0.8678,oregon state,NULL,Pacific-12,NULL
2021,46057693,Charles Manning, SG ,0.8678,lsu,south alabama,SEC,Sun Belt
2021,46046907,Isaiah Hill, PG ,0.8678,tulsa,fresno state,American Athletic,Mountain West
2021,46084258,Ques Glover, PG ,0.8678,florida,samford,SEC,Southern
2021,46097306,Aquan Smart, PG ,0.8678,maryland,NULL,Big Ten,NULL
2021,46041472,Elijah Wood, CG ,0.8678,nebraska,NULL,Big Ten,NULL
2021,46048823,Isaac Lindsey, SG ,0.8650,unlv,wisconsin,Mountain West,Big Ten
2021,86699,Parker Stewart, SG ,0.8646,indiana,indiana,Big Ten,Big Ten
2021,94622,Lamar Norman, SG ,0.8628,duquesne,western michigan,Atlantic 10,Mid-American
2021,86143,Jamir Harris, SG ,0.8616,american,seton hall,Patriot League,Big East
2021,86279,Nikola Djogo, PG ,0.8563,notre dame,northeastern,ACC,CAA
